"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","AACS",0.174194120909283,0.36253356733036,-0.249199363815265,0.183389896693822,7.48066851414639,0.0212508170376068,0.000787639252921179,3.84248405225292e-05,0.0328442149564495,0.0328442149564495
"2","AAMP",0.0102670186184084,0.0438442060123367,-0.460790906499769,0.179526306962713,8.15642497932906,0.0748711140529826,0.00021414173955959,0.00592839958347521,0.0320155531521108,0.0320155531521108
"3","AARS2",0.562139050148097,0.747316284145618,0.189271516403377,0.326517540623067,6.62051013323263,0.0830170385302353,0.00153699766182607,0.10507670667271,0.044032154856594,0.10507670667271
"4","ABCA7",0.512135065892576,0.711914754582478,0.166321673234981,0.253726022344357,6.11318597983897,0.0284732238338942,0.00462270351743756,0.0242556827395615,0.0597541908972518,0.0597541908972518
"5","ABCA9",0.896570606154356,0.949999526741429,0.0569430666570764,0.438041389747931,4.53622071649351,0.00954083252404655,0.046072258326749,-0.0333822659608353,0.14580800080555,0.14580800080555
"6","ABCB9",0.00211703797933348,0.0123232757623105,0.955270583611606,0.310828692088276,5.4487716680955,0.342306121632153,0.0047287326411736,0.0524595058502276,0.0918857431841344,0.0918857431841344
"7","ABCC4",0.026776261167026,0.0924803292351078,-0.988592073394052,0.446364503322232,5.35894748292034,0.458598942409919,0.00534041160314303,0.19390085822296,0.0973995048395056,0.19390085822296
"8","ABCE1",0.293651274052834,0.509274081879611,-0.410545868275351,0.390941933673057,8.70768469944266,0.15807303365534,0.000161886805642403,0.152673708698387,0.0326719123761521,0.152673708698387
"9","ABHD10",0.0896764937740405,0.227171914340807,0.325461257285344,0.191774189189659,7.10393129454774,0.0562687472200954,0.000957039022582565,0.0304835668106819,0.0358203006167687,0.0358203006167687
"10","ABHD4",0.717421476801524,0.851361480497208,-0.281236156248233,0.777094950330003,5.72409035446466,0.428948966412686,0.00310252166789673,0.600774040160493,0.0766518180492067,0.600774040160493
"11","ACADM",0.358087635113851,0.575353230307986,-0.184036802616066,0.200254367605414,7.88482383101103,0.0380243894024111,0.000476049268928159,0.0396257624761162,0.0319866458478596,0.0396257624761162
"12","ACOT8",0.0896046016137915,0.227084468281151,0.35712089882773,0.210382094687808,6.71895902749746,0.0438393332875987,0.0023979383455609,-0.000406606603925408,0.0418626874196687,0.0418626874196687
"13","ACOX3",1.05590438133146e-05,0.000129789262946262,-0.972787444691112,0.220817215831027,6.49696672166265,0.339042936118444,0.00174411105610537,0.0336625868472288,0.0470161317512608,0.0470161317512608
"14","ACSL1",0.936165267280901,0.970066248469995,0.0764072383368659,0.954011087778579,9.20857219591665,0.608704125759735,0.000138503823270669,0.909998651781197,0.0340755300836532,0.909998651781197
"15","ACTL10",0.462947271735642,0.670830301098376,-0.311671077003811,0.424618604076884,4.21824705717299,0.148899201549684,0.0168951009101086,0.157884271294061,0.163405858018093,0.163405858018093
"16","ACTR1B",0.477221376147518,0.682899597862289,0.130044375822594,0.182960426574938,7.45134658104062,0.0104432031169627,0.000479981405269466,0.00672905342863052,0.0329945362872139,0.0329945362872139
"17","ACTR8",0.0182607695657693,0.0689942516934782,-0.503886713441887,0.213485298592108,6.61412895113719,0.0863287213642963,0.00139614720674103,0.00114602484807052,0.0441798255082206,0.0441798255082206
"18","ADAM17",0.00164050593416882,0.0100283147974248,0.680944345331173,0.216268439442205,6.53878131946783,0.154739372602926,0.000792980827724345,-0.000526522642585142,0.0459790570710423,0.0459790570710423
"19","ADAM19",0.742784064219334,0.866265413793611,0.644069357139193,1.96261627730978,3.76911130859185,2.70618354690944,0.102868310022332,3.74899434193898,0.188949937587347,3.74899434193898
"20","ADAMTS1",0.565988701584193,0.750071054678161,0.658033665358645,1.14646180195551,3.39276844653166,1.02058587714383,0.0484374349679451,1.26593722837513,0.211473842221039,1.26593722837513
"21","ADAMTS14",0.591985716276633,0.768599441518051,0.288031941081691,0.53741243443613,3.45110326983525,0.220195549485474,0.0545737498643697,0.234238374822198,0.207888437951948,0.234238374822198
"22","ADAMTSL5",0.761300329927578,0.876148361536229,-0.101776576572815,0.335040813655124,5.24979772989129,0.00497472184463726,0.00795240226826377,-0.00566955527074902,0.104299944546423,0.104299944546423
"23","ADCY3",0.0963187617230567,0.238919010164991,0.540858731304643,0.325236927111781,8.13094462635209,0.168028761580899,0.00043316335709019,0.105345895400024,0.0320053940283394,0.105345895400024
"24","ADD2",0.755391702779144,0.87293474113589,0.254490857294345,0.816885593411355,5.85777645534073,0.466456580630818,0.00377078210268735,0.663531290620335,0.0704599772796279,0.663531290620335
"25","ADI1",1.37385076618159e-08,3.3036559011478e-07,-1.36764619673385,0.240926301666768,8.58046841934586,0.662182361703406,0.000420737940744881,0.0576247448940818,0.0324432239266501,0.0576247448940818
"26","ADIPOR2",0.26511391719733,0.477135756765912,-0.200836207161715,0.180221511418377,8.48658071989694,0.0187397274318206,0.00017468059129387,0.007767319502885,0.0323051125866302,0.0323051125866302
"27","ADPGK",0.177306570912531,0.367088971160567,-0.298200123305276,0.221037216598376,7.35065383651051,0.0622127385941323,0.000627307851348351,0.0482301432702089,0.0336251153195612,0.0482301432702089
"28","AGA",0.00487928641869949,0.0244607743319858,-0.846289885453026,0.300646835318277,5.54881965045977,0.244990383139332,0.00437290501790404,0.00500938458104663,0.0860156145689912,0.0860156145689912
"29","AGBL5",0.000274081210794736,0.0022305069789804,0.793638037755627,0.218113898096083,7.20099391686673,0.241669560019313,0.000944871477319413,0.0466288010653489,0.0348369325135781,0.0466288010653489
"30","AGK",0.719026418213534,0.851566092414038,0.0903928079495729,0.251258452004326,6.05023427712045,0.00318007640714148,0.000800956449636275,-0.000116271703428154,0.0623298532539738,0.0623298532539738
"31","AGO1",0.678543248376585,0.826667178912631,0.0854512656481606,0.206179011610081,6.75741176460662,0.00746787521107792,0.00143319336652915,0.00611766004965142,0.0410765914619806,0.0410765914619806
"32","AGPAT4-IT1",0.655144923662459,0.811961411430051,-0.274347450468099,0.614266262374082,2.32245793472495,0.0371407537102264,0.0973610810015057,-0.079283212225339,0.279961960089518,0.279961960089518
"33","AHCYL2",0.983890422587915,0.993056691599819,0.0128471845803116,0.636259628056958,6.89083290123133,0.269939226247333,0.00121104556696182,0.403615268728216,0.0386583587366033,0.403615268728216
"34","AICDA",0.170896740530738,0.357939046171636,0.993772447010647,0.725737281437315,2.06225908451561,0.409501742667025,0.230424857760542,-0.109964081978768,0.296269743907482,0.296269743907482
"35","AIDA",1.06463772183368e-07,2.11958485093746e-06,-1.18908417175027,0.2237084068575,8.19626782552638,0.504670690034821,0.000236992236839569,0.0498084590618814,0.0320348523645406,0.0498084590618814
"36","AIFM2",0.964849839444144,0.984464642601221,0.0133867082405822,0.303770779797518,6.88024315609603,0.0615775257583675,0.00114453268958604,0.091132153969206,0.0388314449427213,0.091132153969206
"37","AIMP2",0.00304839148509679,0.0166690639871714,-1.11108456707995,0.375009695073972,6.72581410350849,0.505257819334063,0.00171535428156416,0.138916917117909,0.0417198606589188,0.138916917117909
"38","AIP",0.603582311505508,0.776583301193267,-0.0970103330772734,0.186825678122852,7.27507208236111,0.0149312296470053,0.000709706666488797,0.0169816354421373,0.0341941273395748,0.0341941273395748
"39","AKR7A2",0.814227721277719,0.905930380310698,-0.047249062696717,0.201080774377645,6.83015511457455,0.0019462119617084,0.000737985950623793,0.00106509502907971,0.0396954918736897,0.0396954918736897
"40","AKT1",0.356589741497602,0.574307389018162,-0.245269030787165,0.26605230724642,8.63476672007042,0.0672415192818544,0.000231571379256821,0.0705522588118868,0.0325348949751621,0.0705522588118868
"41","ALDH6A1",0.961228133359195,0.982707747813181,0.0456667285466517,0.939403614745116,6.0809057668504,0.589014584296179,0.0028912590167991,0.879587892379391,0.0610647395747618,0.879587892379391
"42","ALG12",0.172773356047748,0.360846589406723,-0.2712739683887,0.198976549679562,6.90958871471556,0.0249898137937227,0.0012313974498688,-0.000541459721961599,0.0383602698725145,0.0383602698725145
"43","ALKBH5",2.69086511058679e-05,0.000296106431569534,0.755364474038857,0.179927294087868,7.94913963061618,0.196811074473895,0.000396469259526992,0.00953239813131659,0.031977361898255,0.031977361898255
"44","ALS2",0.320143764386709,0.536214778764563,-0.209373809618903,0.210603207081627,6.68768161525229,0.016001983752089,0.00182514518605497,0.000259134364912185,0.0425285656470117,0.0425285656470117
"45","ALS2CL",0.777088012193561,0.885244058082541,0.138382458368762,0.488783816930967,8.27486846439817,0.165656314723798,0.000255447446144413,0.238654172247461,0.0320852837751663,0.238654172247461
"46","AMN1",1.69705867897423e-05,0.000197212051871772,1.5996535941538,0.371889520872591,4.86171253664679,0.876367628169158,0.010258991680152,0.0248466399290055,0.128042824054693,0.128042824054693
"47","ANAPC1",0.00109886958141863,0.00715910772218621,-0.614262944125435,0.188198625973077,7.82545785191389,0.149385470053986,0.000337402569257405,0.0350813202488966,0.0320129131504421,0.0350813202488966
"48","ANAPC16",1.79602229836062e-07,3.41800810940691e-06,1.39529090261267,0.267333040872851,8.56741671455924,0.696590204132773,0.000247900330998191,0.0712190544113274,0.0324224881694037,0.0712190544113274
