"","target_id","b","qval","mean_obs"
"1","MRPL24",-0.398886613099658,0.093195846053583,7.80659989707391
"2","ACIN1",-0.399439648040808,0.0929321214759341,8.55432181358061
"3","HTATSF1",-0.407539249598896,0.0898199895419664,7.46350177779578
"4","WSB2",-0.412874792920429,0.078598399728401,7.89666305390846
"5","DENR",-0.414091176533962,0.077690063805005,8.14063471129189
"6","FASTKD1",-0.419839294628985,0.0832092777599951,7.34544026570908
"7","NDUFA5",-0.421465059185545,0.0721347069639568,7.9250316153074
"8","GPS2",-0.4316406170993,0.0942372978449306,6.98618553756256
"9","DNAJC11",-0.433476316036609,0.0623585267618373,7.83932571971769
"10","MRPL49",-0.438490248217854,0.0665633036956741,7.37180495604338
"11","ARAF",-0.43993880887518,0.0945956711063034,6.85260824885875
"12","PSEN1",-0.440800936293169,0.0948204132760876,7.9885636133166
"13","NAP1L4",-0.44275920301298,0.0558646613950526,8.36973393804239
"14","HNRNPH2",-0.442942783009118,0.078616791403894,7.58537487515055
"15","TGFBRAP1",-0.442985611108232,0.0948458923060162,6.87314437109049
"16","ATXN10",-0.446421201120858,0.0528420257165792,8.20603330227211
"17","PEF1",-0.449522743840607,0.0593733524876771,7.3706318440372
"18","TARBP1",-0.455175243006333,0.0489179112875977,7.68634724871197
"19","BTBD7",-0.455252046125608,0.0633850230960715,7.21909075700803
"20","SF1",-0.458346672665404,0.0478785809888116,8.67983174470054
"21","TMEM248",-0.462629494893682,0.0433521918196614,7.86566140765882
"22","MSH3",-0.464741268277911,0.0910170441565099,6.70663290540644
"23","STX10",-0.466182352805349,0.0643704740779973,7.01058495277489
"24","DBN1",-0.468471410213669,0.0403115278796564,8.03137072365995
"25","RIPK1",-0.471321558849357,0.0948057193914639,6.6090782299282
"26","THOC7",-0.47192436010728,0.0427110802129992,7.47486282350851
"27","UBQLN1",-0.47213359118806,0.0668220770803943,8.62384357049489
"28","GHITM",-0.473643913505875,0.0425535373710968,9.05690600360298
"29","EXT1",-0.478248088811346,0.0378462099445102,7.54654055974794
"30","FAM168B",-0.480267527801846,0.0358323674780019,8.55791169844905
"31","CC2D1B",-0.483755517504344,0.0832156210568193,6.62141857030376
"32","IMPAD1",-0.486141166362678,0.0789995539355545,8.29911289606921
"33","WDR82",-0.486312662869668,0.0333703955182565,8.62142162463319
"34","BAP1",-0.489381198478718,0.0387078520624483,7.25797450837513
"35","SENP3-EIF4A1",-0.491160548210779,0.0552982506927822,10.1850811249791
"36","RHOG",-0.495346498342337,0.0624404682993416,6.79663935214366
"37","FLOT2",-0.497327666153818,0.0280225312433106,8.40647611012101
"38","STAG1",-0.503207688913708,0.0629725591803601,6.6735469424161
"39","TOP2B",-0.503295315473557,0.0311777253241073,7.88562737360057
"40","TRIM26",-0.5128742790624,0.0287512247961552,7.32221526795995
"41","ADAM9",-0.513619666297632,0.0244408117902604,8.90592763134295
"42","PCGF5",-0.516577639447772,0.0237807046546181,8.10651680113378
"43","GPHN",-0.517441038671725,0.0391572671421667,6.95133156212219
"44","FBXO31",-0.519719427923953,0.0634930378713524,6.56721027695631
"45","ZNF318",-0.519777518086532,0.0431634878882432,6.8240225166582
"46","JOSD1",-0.519779200080957,0.0205159781159275,7.84868995240622
"47","SF3B5",-0.52029006977173,0.021424142820202,7.62616725729037
"48","CRK",-0.522790673806988,0.0193338244348539,7.97294996675909
"49","ATG5",-0.528175316071769,0.027924884302693,7.11271906965053
"50","PKP2",-0.52852540136023,0.0213504045359043,7.40190795005454
"51","HNRNPC",-0.528757246289156,0.0397187155175095,10.3336796500938
"52","RDX",-0.530588853269293,0.0170946397139741,7.8076085818434
"53","PSMD6",-0.531110697585221,0.040323201492138,7.7323508052865
"54","SMARCD1",-0.531634750783201,0.0200896081096185,7.4491939204199
"55","FAM114A2",-0.532453127139509,0.0488329216012229,6.65654040526739
"56","SNRK",-0.532732552439751,0.0558646613950526,6.57177155803613
"57","FRYL",-0.532908758551446,0.0479288151859245,6.70133276317651
"58","HSPB11",-0.533802140720453,0.0404782725828754,7.69763260373725
"59","SEC24B",-0.534894183148851,0.0178887648929165,7.5558196168052
"60","UBE2E3",-0.540912212820405,0.0158034242509381,7.66296185140145
"61","DYNC1H1",-0.543077554598073,0.0152078624589255,8.74291481410719
"62","OXR1",-0.547907704438405,0.0844531582391729,7.2892658278839
"63","IDH3A",-0.551430322070132,0.0128075348376812,7.77931470944708
"64","THAP4",-0.552471911363645,0.0441812932628483,7.11949435473006
"65","SP3",-0.552617442976931,0.0123902164470778,7.85853802993213
"66","CTDSP1",-0.557105559787898,0.0131243451397522,7.49373664707916
"67","ZFYVE9",-0.558869533221513,0.0264613385322005,6.860052407007
"68","UBC",-0.559683169146062,0.0349845899765922,9.3787206036199
"69","MBNL1",-0.563141527991448,0.0109982332408331,8.34191457035546
"70","WDR12",-0.564487478517856,0.0152073944747851,7.21407370035062
