"","target_id","b","qval","mean_obs"
"1","RARRES1",8.83059054064066,2.13188995935149e-09,6.14211862283861
"2","CLDN4",7.99956932560834,3.45284439358489e-17,5.21441535108935
"3","MIA",7.95757806510062,5.71826969662497e-62,3.28564185199037
"4","EPDR1",7.38531299906026,3.25568236514222e-49,2.99950931897018
"5","WNK2",7.37923598290667,3.62375084877652e-07,4.30018253208007
"6","SLC5A1",7.31562356569107,4.92646369358391e-13,3.90564573283642
"7","VTCN1",7.2857360690958,3.50065437814633e-47,2.94972085398796
"8","ENPP4",7.04587725415273,1.27727819415961e-26,3.46067974916672
"9","KLK5",6.98170572715776,2.85155588341911e-24,5.80577240746896
"10","NGFR",6.59954742719545,2.26539630521413e-50,5.23292730061303
"11","RBBP8NL",6.54134307955607,2.0329177039158e-34,2.57752435921809
"12","TMPRSS13",6.21449022886117,1.43709283274995e-09,3.3547506094585
"13","TMPRSS4",6.20043314938396,1.71011196150745e-10,4.68206930251742
"14","LY75-CD302",6.19317288386119,2.65896966368121e-06,3.57791738989393
"15","ELF3",6.17366212543232,4.43740350232084e-98,6.01063532175437
"16","TMEM30B",5.99813724502282,4.7447581825448e-16,3.70000480223444
"17","UCA1",5.62646156645514,6.94507187236345e-34,4.93479074203867
"18","ARHGEF38",5.50767625583608,1.07493395721751e-18,2.43557359083519
"19","LCN2",5.46454579502686,1.26754636114495e-26,4.87528942700879
"20","HOXA7",5.44949841691281,1.0217439926977e-07,2.95533452149078
"21","NAP1L5",5.19839248866666,2.78022272488964e-13,2.53693736642369
"22","GRHL2",5.07313495861343,1.17399824659339e-11,3.59718084318712
"23","ZNF518B",4.95837563272005,6.2259878870085e-07,2.67354070776861
"24","S100P",4.84876205123324,8.06602719481956e-91,7.37020023126353
"25","LOC100128770",4.76912735503427,3.37389981345997e-10,3.28795488254359
"26","TSPAN2",4.72375770582427,0.00251679228520494,2.98046434712236
"27","SULT2B1",4.68981737097018,2.96772843888751e-09,3.62658889260993
"28","LINC00173",4.6600084972962,9.7941063196503e-14,1.63685706808815
"29","OVOL1",4.65870413898796,5.66327958652311e-11,3.24542901819622
"30","FUT3",4.47999956847495,1.06661105876592e-06,5.17967408051086
"31","KRTCAP3",4.29970207189923,6.55059667750978e-18,5.04806775345674
"32","GUCY2EP",4.23964459974733,3.27126706572918e-11,1.42667511931372
"33","TRPV4",4.12357162166102,3.67535503856396e-60,6.25244974317603
"34","TCF7",4.04147377080798,9.16956015661417e-06,5.37331507996764
"35","GFI1",4.02344755396114,0.000185587272590143,2.24789395322767
"36","CMTM7",4.01289102495902,0.0392279589714389,5.73534659777543
"37","IFITM1",3.96568668981165,1.02890834973634e-30,6.38021582462497
"38","GATM",3.92843706653496,7.75675905252184e-18,5.06347661465793
"39","TMEM178B",3.91843725764198,2.38279331878406e-11,4.09932212569842
"40","FCGBP",3.91571541347228,0.00891171273660654,4.3477611437786
"41","FA2H",3.80660996238709,4.83187818000994e-14,4.14485074137438
"42","TGM5",3.76218443621016,2.94229585863726e-13,4.33164472679527
"43","FOXI3",3.73641509769512,1.16978018528282e-06,1.68990500816155
"44","HPGD",3.72419132672816,0.0221148665754572,6.49493172337519
"45","SLC52A3",3.72200050432822,1.41488537300503e-19,4.81641181588215
"46","COL22A1",3.61539318759564,1.08524917363732e-07,1.11454941323787
"47","LINC00184",3.56528233457623,2.05898508155826e-07,1.08949398672817
"48","TLE6",3.54695554009301,1.30786281993551e-12,4.11838005057349
"49","ESPNP",3.53678602753983,2.00264325577039e-07,1.07524583320997
"50","ITGBL1",3.44659504508885,1.91716498865689e-05,2.23365252266304
"51","HYDIN",3.39842014253178,3.46076317897296e-06,1.40117269153294
"52","GCA",3.32784052194715,7.32364597155928e-10,5.07754786694718
"53","KLRG2",3.22271873591791,0.0414899988048585,2.16126297428459
"54","NRTN",3.14952816671202,5.97493533402993e-06,3.25502162494811
"55","SPNS3",3.11611376987091,5.82003395359669e-05,0.864909704375509
"56","HSD17B3",3.10850697325399,1.39717051305908e-05,0.86110630606705
"57","KCNH8",3.07035949742761,0.000288891652262321,1.47559865271557
