"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","A4GALT",0.400665314439177,0.544482580291745,0.127403674113731,0.151592789147522,5.59211208101075,0.0324459573191337,0.00938968637334799,0.0250808742089395,0.0213277982272101,0.0250808742089395
"2","ABCA1",0.00559003776310842,0.0198663497445808,1.45148007545626,0.52382849258827,1.30878844883498,0.766928123930733,0.155247323177414,0.01336492819356,0.256347111293534,0.256347111293534
"3","ABCA6",0.249521367609008,0.388558422215653,-0.48061081386866,0.417373432231021,2.32518242661388,0.135843157026118,0.157528885268123,-0.0743449718882856,0.103771987630331,0.103771987630331
"4","ABCC1",0.316038483138405,0.460772206149601,-0.124380453062425,0.124053951527509,5.52867851790055,0.0139692556221509,0.00154118887823427,0.0101189442354494,0.0215428854561499,0.0215428854561499
"5","ABCC2",2.79652044710651e-11,7.35707976622826e-10,-1.87174632182773,0.281173617512782,5.06124354999695,1.14590061180496,0.0110686385141542,0.107519266263682,0.0236569492553394,0.107519266263682
"6","ABCF3",0.155296841196593,0.275884390900488,-0.198606729464661,0.139758728692955,6.98468530581139,0.03527239259164,0.00117723993030207,0.0281215134385046,0.017802111662473,0.0281215134385046
"7","ABCG1",0.322060547887198,0.467177432607081,-0.285921220516261,0.288741537339308,3.21904790532328,0.086977757619448,0.0733624370163039,0.004703155879941,0.0516950760612964,0.0516950760612964
"8","ABHD14A",0.762961844748135,0.841995404975372,0.074095844911871,0.245681046162016,4.91564700548202,0.0740780700018765,0.00897157936778749,0.0815671852971066,0.0245000464842421,0.0815671852971066
"9","ABHD17C",4.17239763230799e-20,2.57237384461423e-18,-1.10698995156952,0.120540970216799,6.28534510644097,0.370267012229248,0.0023554611772512,0.00094327178084703,0.0194397270739596,0.0194397270739596
"10","ABI3BP",1.66631998720323e-06,1.82970229755914e-05,1.31667213776795,0.274869047654233,3.23213023585186,0.546688320401964,0.0621014231351274,-0.0288505920230808,0.0512280669023899,0.0512280669023899
"11","ACADVL",0.0230028824085686,0.0626427640778765,0.277882136369049,0.122232670410545,9.06728683098316,0.0410945353727395,0.000113254647962494,0.0222979839255769,0.0166285208367503,0.0222979839255769
"12","ACAP3",0.000542106888658538,0.00284285343238834,0.419154245178151,0.121176510125386,7.02256185198521,0.0703275803026616,0.00120769926956505,0.0208179206396867,0.0176958324966342,0.0208179206396867
"13","ACIN1",0.00259651566767305,0.0105376623261602,-0.309985830638894,0.102921696306122,8.30161122405426,0.0380466967632912,0.000359648355306134,0.0111645168999761,0.0155296650004883,0.0155296650004883
"14","ACP2",0.944542228021836,0.966476930340256,-0.0104628170735495,0.150409801869215,6.33375910547578,0.0271805713603381,0.00151487048090651,0.0324197922665981,0.0193299699275527,0.0324197922665981
"15","ACSS1",0.0964346993744785,0.192923820136866,0.601369435229976,0.361750016445761,3.37524402073132,0.265529248566856,0.0508937074935726,0.14540090410419,0.0465090045899092,0.14540090410419
"16","ACTR3",0.104305939985252,0.204233392569853,0.169468395644734,0.104331423301641,8.87976388596559,0.010602231815333,0.000132561453445491,0.00235040189482071,0.0161950073787738,0.0161950073787738
"17","ACTR3C",0.410571195919036,0.553307314021282,-0.282550850806451,0.343364533337261,2.54603261055465,0.0444438590513472,0.0905246729982089,-0.0649079679183183,0.0863241311326639,0.0863241311326639
"18","ACTR6",0.0108600093820895,0.0341389762415643,-0.312127757564421,0.12253897157679,6.00983228094543,0.0300476222916289,0.00247935057810603,-0.00145372410439234,0.0200443487545398,0.0200443487545398
"19","ACTRT3",0.506605957202145,0.640198954917246,-0.0951907091641078,0.143331050881098,4.85299676095198,0.0106674709556546,0.00594068399861529,0.00399567802926581,0.0248750012214047,0.0248750012214047
"20","ACVR1",4.90190158000466e-06,4.70290692858363e-05,0.549313013229449,0.1202275927369,6.25949947167421,0.0964672970161889,0.00218561240640452,0.00524421392512487,0.0194963986765602,0.0194963986765602
"21","ACVR2A",0.340314633787733,0.485479024860166,-0.135142482262313,0.141726565152855,5.00562189847753,0.0119544235993439,0.00615376097698034,0.00194045958019222,0.0239758679280595,0.0239758679280595
"22","ADA",0.00216422633329332,0.00909202651198504,-0.397954910330747,0.129765716073044,5.635575831409,0.0643440784290391,0.00407429351807915,0.0169677630220875,0.0211844180838455,0.0211844180838455
"23","ADAM10",0.00925825547906473,0.0299184281433769,0.678248329117253,0.260627410230329,7.35746025718451,0.219518215141145,0.000428569891999072,0.101461400553053,0.0167906171091523,0.101461400553053
"24","ADAM12",0.000112235701322869,0.000724727798159509,1.08769529991763,0.281604458655539,5.66681800150336,0.450085605000484,0.00337860123709153,0.115573005464927,0.0210826760954637,0.115573005464927
"25","ADAM32",0.528901832118031,0.65938350443412,-0.268183073590344,0.425901540316456,2.05711614308118,0.169685797831106,0.141352057958677,0.0437843789700691,0.130736125107218,0.130736125107218
"26","ADAM9",0.00143363771203765,0.006455694746489,0.517983021232508,0.162489607079454,8.71120404284055,0.11217536997615,0.000136332212989221,0.039467976400264,0.0158984758878825,0.039467976400264
"27","ADAMTSL4",3.95041459728638e-05,0.00029111692698462,-0.664004668804591,0.161544134370161,5.05560521581983,0.152635661788745,0.0154555866618848,0.0100006655011864,0.023689174362222,0.023689174362222
"28","ADAT3",3.47987749091371e-05,0.000260261570113357,-1.0461982190278,0.252732354602508,4.69517866925481,0.405007585724595,0.0241297492553543,0.0716807153390377,0.0258784491814682,0.0716807153390377
"29","ADCK2",0.091744844999119,0.185689680572011,-0.277533362949828,0.164584705108738,6.54310243979812,0.0556131804519488,0.00156438467598768,0.0390678030576078,0.0188530638154084,0.0390678030576078
"30","ADD1",0.0697322596538966,0.150411232414398,0.18616503522884,0.102646848336716,8.38196363524677,0.0106210065679468,0.000241151228145996,3.85743536288649e-05,0.0155634119820453,0.0155634119820453
"31","ADH5",0.192549198127148,0.322355092023962,-0.134226928241046,0.10300783948773,7.90591012571394,0.0106995740272673,0.000278122657750873,0.0063400192769481,0.0156377998361439,0.0156377998361439
"32","ADIRF",2.41300336331304e-15,1.01532307690739e-13,-1.91839733252559,0.2422821056422,5.24348900761683,1.17451524008969,0.00817949571355836,0.0798714323580689,0.0226828154502907,0.0798714323580689
"33","ADO",0.764573309075552,0.843036073777544,0.0347841176281317,0.116148117866331,6.5345257436503,0.00372100090894216,0.00136435522035463,0.00283317035113514,0.0188712227054821,0.0188712227054821
"34","ADRA1B",0.502452197775955,0.636391855933648,-0.272422514534348,0.406214933642537,2.12997435822195,0.0643607087512932,0.124822602640073,-0.0722019766104133,0.122693255831243,0.122693255831243
"35","AEN",0.230982992616864,0.367891591071227,-0.137582860419925,0.114860036587113,6.64317908249604,0.0137409680907492,0.00114660186176478,0.00893121694617331,0.0186426401454248,0.0186426401454248
"36","AFF1",0.0185908958737449,0.0530420328953124,0.9450338938081,0.401521142934009,7.8102434037514,0.461389792001469,0.052336396341818,0.189492445992732,0.0157432688295466,0.189492445992732
"37","AFG3L2",9.20095261868966e-07,1.07648109020643e-05,-0.50702613233348,0.103306043191862,7.92753234799609,0.0808612893044132,0.000388228551591248,0.00428507100303263,0.0156199792883469,0.0156199792883469
"38","AFMID",0.000115383672051583,0.000742716030420126,-0.50799454419325,0.131750468267543,5.83156735438082,0.0960961863502174,0.00548871844808934,0.0178595931408919,0.0205485603849858,0.0205485603849858
"39","AGTPBP1",0.41158692576866,0.554096896173891,-0.101528805418615,0.123649114360511,5.98525374663372,0.014891981656774,0.00282882752862839,0.0119206126686899,0.0201048276945795,0.0201048276945795
"40","AHDC1",0.00425637773740444,0.01578745391483,0.38131802963511,0.133397552061603,6.5092647344214,0.054689051178,0.00776724168227485,0.00606778239342405,0.0189251186617672,0.0189251186617672
"41","AHI1",0.238542605143583,0.375892992204224,0.231153578733853,0.196119336609097,5.63745951426355,0.0621849461188312,0.00428800997403231,0.0534061813139563,0.0211782577216394,0.0534061813139563
"42","AHNAK2",1.44006586016442e-06,1.60157912918678e-05,2.71589979288556,0.563537426310426,7.46850655337231,2.59392282252184,0.00311200168298563,0.473249644595883,0.0164928503098468,0.473249644595883
"43","AKAP1",2.45498361221109e-07,3.30281476481531e-06,-0.554353735240949,0.107409923546463,7.42904319821479,0.101998302498318,0.000706731560852645,0.0115506226461979,0.016598605953533,0.016598605953533
"44","AKAP13",0.0675971772452718,0.147036044383794,0.318263927929289,0.174135213825497,6.62059603555455,0.0667752655791558,0.00341230940500505,0.0420722996360724,0.018690276325102,0.0420722996360724
"45","AKTIP",0.0359395781701987,0.0890793949402933,0.262858535333279,0.125313327454452,5.84141202563481,0.0249609747441354,0.00303904708479418,0.00225169274629114,0.020516097971766,0.020516097971766
"46","ALDH1A3",3.66742209171017e-13,1.1927533316617e-11,-0.804107551847575,0.110647350423909,7.12005995380329,0.206365718285693,0.000942768849485037,0.0145435209057705,0.0174214853842619,0.0174214853842619
"47","ALDH5A1",0.173016360544184,0.298609054590619,-0.178755909631443,0.13118973621924,5.50854813675937,0.018966132152491,0.00420306867445133,0.00752196830560081,0.0216130516594593,0.0216130516594593
"48","ALDOA",0.238359590030212,0.37584109714538,-0.204165397412262,0.173154043719862,10.2363553278382,0.048483840278,5.34212660824076e-05,0.0449200630187273,0.0222513609834782,0.0449200630187273
"49","ALG8",0.00100037391845137,0.00478747963673319,-0.360828060304607,0.109660131621746,7.16238495905484,0.0429306432888724,0.000733938032615681,0.00410553266478056,0.0173040786683324,0.0173040786683324
"50","ALKBH7",0.176176981135108,0.302334453890335,-0.308960653309332,0.228416404576152,5.70773145005779,0.0912458702433942,0.00300351031511747,0.0752575705041268,0.0209503991168876,0.0752575705041268
"51","ALOX12P2",0.563235649604738,0.689755722549028,0.105928744357792,0.183254354187345,4.19893212889304,0.020843201007567,0.020217135070455,0.00162902910854683,0.0301561024224763,0.0301561024224763
"52","ALOXE3",0.0456920773550122,0.107716318685631,-0.331117761163201,0.165705795395597,4.38284081449474,0.0658417842805441,0.0122407619161532,0.0289468540253779,0.0282978300902594,0.0289468540253779
"53","ALPP",0.020205985103524,0.0566919012204137,-0.80856578754042,0.348144459481652,2.52786331243048,0.318523835599477,0.0941867667847061,0.0588010404218185,0.0876200802169516,0.0876200802169516
"54","ALYREF",0.000945137477345962,0.00455697022399379,-0.622759797172447,0.188351607836839,7.6175570843066,0.158920523301947,0.000560805617289842,0.0526536866447937,0.0161147094256875,0.0526536866447937
"55","AMFR",0.0591838273699543,0.132464675490158,0.201267696661275,0.106670022354241,7.46713960105197,0.0201470803180671,0.000571244589263874,0.00942184866356892,0.0164964959143175,0.0164964959143175
"56","ANAPC11",0.279217005220512,0.422415142860009,-0.290100295629272,0.268095066652912,6.8042347737062,0.111497412173613,0.00102324698407232,0.106789200161372,0.0182809133352624,0.106789200161372
"57","ANAPC7",0.19308911514477,0.322953957625953,-0.146768738167888,0.112769354816095,6.83687395588354,0.00954742852087842,0.000875776079948632,0.00298061113237662,0.0181996149985087,0.0181996149985087
"58","ANGPT1",0.0254532270406169,0.0676779972690694,-0.695794327138547,0.311393467645306,2.75268693036418,0.169387499263813,0.0723295920643357,-0.0421438726138873,0.0731192454739164,0.0731192454739164
"59","ANKEF1",0.361851740477168,0.507372459207579,0.137570982968403,0.150871464608248,5.80405324351518,0.0329923712061133,0.00246120323551264,0.0316820950140442,0.0206387545018615,0.0316820950140442
"60","ANKK1",0.662472399316455,0.768350942442935,0.19974123644726,0.457595022153886,2.00646585920241,0.184411424533867,0.177415368374661,0.0381377017161184,0.136674438075363,0.136674438075363
"61","ANKRD13A",0.000210296747750496,0.00125452582377031,0.411875393858444,0.11112800656175,7.11150455785467,0.0511925363876641,0.00107873508232671,-0.000703567122514922,0.0174454156812559,0.0174454156812559
"62","ANKRD13B",9.43244952461117e-15,3.65442989778652e-13,-1.0006180841,0.129167304681519,5.69097909131973,0.306675373593571,0.00402181331169286,0.00385869734479016,0.0210044755863396,0.0210044755863396
"63","ANKRD2",0.00983778547438438,0.0314259513464227,-0.454246813968861,0.17596375519956,4.2004184429562,0.0961551849833816,0.0163054996732532,0.0265109185556511,0.0301393650426426,0.0301393650426426
