"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","A4GALT",0.3019175815597,0.518301045561093,-0.635672388879467,0.615764753477458,6.52867091771144,0.387470616411346,0.00622963119250663,0.372936600432647,0.0462275534444704,0.372936600432647
"2","ABCA1",0.091801492123405,0.23079742162406,2.30142879447458,1.36504693875181,2.89918766239831,3.00776026200937,0.0748505464737938,1.7885025985219,0.243059002093939,1.7885025985219
"3","ABCA3",0.408598023795578,0.624135142633119,0.563681638311091,0.682123255288013,6.00956665962738,0.416107086726168,0.00701402423870069,0.458278111166015,0.064030574153596,0.458278111166015
"4","ABCC2",0.000997095257608303,0.00660332641154367,-2.59121830270241,0.787282480116507,6.1447733278385,2.65134656641891,0.0040371027862135,0.615776600712186,0.0584964243849615,0.615776600712186
"5","ABCC3",0.0371553713384234,0.119032868009752,2.53161544351043,1.21475594635819,7.91618232932042,3.12011359074855,0.00197187164502758,1.47366013756755,0.0319801100785074,1.47366013756755
"6","ABCF1",0.186606586102489,0.379947380808268,-0.366622363338792,0.277600263157176,8.1035527309848,0.0961785898366633,0.000445694014804662,0.0766162120901289,0.0319963580288643,0.0766162120901289
"7","ABHD13",0.382584704965779,0.599157780539682,-0.242819795434013,0.278098288704252,5.78677912040244,0.0320602268210219,0.00370080986066552,0.0149088038435595,0.0736378483195681,0.0736378483195681
"8","ABHD17C",0.333028420407415,0.550519183004989,0.658914412703094,0.680674250726351,6.79027917710615,0.453601024823874,0.00217338709519087,0.461144048506689,0.0404347862868476,0.461144048506689
"9","ABI1",0.00161251415063614,0.00988748596129308,-0.908833724566513,0.288186215466839,7.32800030148409,0.330693776159879,0.00068098220553004,0.0823703125795693,0.033786927296919,0.0823703125795693
"10","ABI3BP",0.285284526059188,0.500189021849633,0.541260202194856,0.506549742421016,3.36727260008493,0.108576603876688,0.0435389240541606,-0.0271553214791374,0.213053717492637,0.213053717492637
"11","ACADVL",0.0885764966659882,0.225350688697551,0.320982005535848,0.188485316524483,9.52935491456444,0.0348052118960831,7.9148117396469e-05,0.000613945787820527,0.0354475664279381,0.0354475664279381
"12","ACAP3",0.322568260831824,0.538975242852839,-0.27189025591897,0.27486041293029,7.44330883547982,0.0750069348187006,0.000719508319029814,0.0748287382771796,0.0330385985142145,0.0748287382771796
"13","ACAT2",2.85292937245622e-05,0.000309882471360602,-2.17375690556374,0.519428763323004,7.23999869091207,1.75494385494019,0.00135971403684718,0.268446526130418,0.0344874893120086,0.268446526130418
"14","ACBD6",2.99936190637939e-05,0.000323805351988909,-0.775119822296548,0.185723511895223,7.34495559763393,0.20096386556395,0.000828089305089485,0.00021233958231952,0.0336651335656055,0.0336651335656055
"15","ACIN1",0.0269303517297643,0.0929321214759341,-0.399439648040808,0.180535584276442,8.55432181358061,0.0531842804986479,0.000190911456258351,-0.000190506921768765,0.032402185733778,0.032402185733778
"16","ACP1",0.276172050656257,0.489491607673976,0.273242159779893,0.25092056519555,8.04176527089236,0.0668611793190964,0.000356448562250129,0.0626046814758041,0.0319830830899513,0.0626046814758041
"17","ACSL4",0.87762205450272,0.940531420693543,0.0440318040277839,0.285949815589174,8.5276879830343,0.0551577979456359,0.000343077496469928,0.081424219539013,0.0323624355068375,0.081424219539013
"18","ACSM1",0.541889853072431,0.733374748602094,1.37936218704729,2.26140643897752,2.25732744223766,4.04351940251796,0.0400941975281981,5.0738648847208,0.284069952873055,5.0738648847208
"19","ACSM4",0.00240947039717297,0.0136716467063471,2.34632064015453,0.773218827341976,1.62574608204156,1.84512055036886,0.274991602955347,-0.259921050609636,0.322875752000753,0.322875752000753
"20","ACSS1",0.187760039016645,0.381470383258706,-2.60534043987117,1.97788660700076,4.2835503278845,4.87062322264469,0.0322520808984973,3.87978334925449,0.159767304610099,3.87978334925449
"21","ACTL6A",0.989873479884865,0.995421958264368,-0.00426578292870555,0.336098770559694,7.79880675495208,0.0753143213491569,0.000376253231569635,0.112586130340168,0.0320320068925757,0.112586130340168
"22","ACTR3B",0.00406714038452688,0.0210981255749645,-0.933644222840634,0.324982422726933,5.31864919895542,0.308921869309669,0.00568521859910224,0.0218518179435566,0.0999283564823648,0.0999283564823648
"23","ACTR3C",0.222898852569854,0.427759825788827,0.690727103513333,0.56670115574085,2.93869339258402,0.170163336890388,0.0806406619021529,-0.0639476223305298,0.240509538015862,0.240509538015862
"24","ACVR2A",0.966714272987939,0.984911102399083,0.0109283052840506,0.261883902482704,5.95255340855602,0.0401341065022045,0.00214053028030541,0.0580009155448105,0.0664426480992649,0.0664426480992649
"25","ACVR2B",0.033910707834233,0.11065854731028,0.627084770369231,0.295636864176522,5.60964695005372,0.164505919387992,0.00478051811338901,0.0453607063540825,0.0826206373467382,0.0826206373467382
"26","ACVR2B-AS1",0.02002418443247,0.074079275447926,1.19439085537032,0.513518950485301,3.29113553648191,0.514573915197356,0.0458804398877527,0.0126956752121591,0.217821272619772,0.217821272619772
"27","ADAD2",0.000162041087409457,0.00143341276602039,2.56102544238036,0.678983745743034,0.587365540630236,2.19708925268334,0.0800628241525467,-0.0638546033873033,0.380956102830694,0.380956102830694
"28","ADAL",0.256533331193659,0.466947982121426,0.274412610890523,0.241853568903892,6.22915000114698,0.0355320731928267,0.0032101492231077,0.0124368200582558,0.0552829995684421,0.0552829995684421
"29","ADAM10",0.124714939883146,0.287141087976091,-0.27823631118189,0.181228322559624,7.57245157704686,0.027842408915835,0.000373177688509281,0.00268271325519061,0.0324705272092657,0.0324705272092657
