"","target_id","b","qval","mean_obs"
"1","EIF3I",-0.0870053914774815,0.0575456678748765,9.01672231874906
"2","POGZ",-0.087622336164062,0.0902801684376417,7.69188403726155
"3","LONP2",-0.0911034308447556,0.082326234295706,7.79671179594837
"4","GTF3C5",-0.0947873304849501,0.086145879938921,7.39098041374845
"5","FAM20B",-0.095901722302283,0.037368826682565,8.23772190793404
"6","ENSA",-0.098351359953312,0.0566387108775603,8.46264697629029
"7","RNF6",-0.10336152164126,0.0702261868315772,7.53105948919479
"8","THOC3",-0.103590302908191,0.039888334393066,7.93550743764435
"9","TBCA",-0.103819886013097,0.0393363787593596,9.03761696297223
"10","MRPL28",-0.105406022697479,0.0402059078144387,7.51629854730195
"11","SUPT7L",-0.112100243277253,0.0770288022007834,6.8753210284608
"12","SSB",-0.112939923178978,0.0113578518132363,8.49869519987938
"13","TRPS1",-0.113208941170514,0.0647629809360226,6.97514598473834
"14","DDX18",-0.115516325694711,0.0118656010255925,8.19740304351714
"15","POLR2M",-0.116153790182069,0.0933903003919403,7.28416506597018
"16","HSPD1",-0.121205741289529,0.0122152391596777,10.2720904961704
"17","NOL9",-0.125604932609102,0.0770529731695217,6.51575506827115
"18","SLC25A1",-0.126527992566552,0.00501004055161493,8.2005396457091
"19","SH3YL1",-0.126631484868721,0.0804509568141575,6.74748640267122
"20","AK2",-0.127256355786124,0.00353908368373529,8.78475197490516
"21","SNRPE",-0.127420325231282,0.00437581407484556,8.37632287605896
"22","SNHG6",-0.129376273050472,0.0609719813600619,7.39852429228418
"23","FOXO3",-0.129775709894711,0.0255215422820814,7.59844798691031
"24","FECH",-0.133505798482391,0.0511833814815993,7.25620964533793
"25","ERLIN2",-0.133610905922816,0.022210097788189,6.70656477372424
"26","CNIH4",-0.136583883406929,0.00422083218595502,8.00407914662778
"27","ECSIT",-0.140992564807435,0.0432065162264831,6.57024261915021
"28","ZNF280D",-0.141052330737843,0.0606208762169543,6.4661968981089
"29","XPO7",-0.149780660149967,0.000741401124805524,7.79432697654329
"30","OBSL1",-0.152035344814405,0.00593182907295822,7.21137792694227
"31","YIPF4",-0.152389798508925,0.0121363258810062,6.85651233974559
"32","PPP1CC",-0.157577131998195,0.00166293723188951,8.58129419018294
"33","ERMP1",-0.158597964450168,0.00155636762502386,7.45834585788481
"34","GNPAT",-0.159777972763367,0.000340871649930283,7.99716884421695
"35","RWDD2B",-0.160602186939379,0.0230953470944288,6.47535822165179
"36","HIGD2A",-0.163404140707219,0.053261013856559,7.7107172872507
"37","USP11",-0.16715477398221,0.00935775424486126,6.5475462202654
"38","ZNF768",-0.171195162480912,0.0817675475077548,6.5116647708489
"39","FAF1",-0.171965773700748,0.00507259042119421,6.84116678483749
"40","MRPL11",-0.175607388867738,0.0010325252298787,7.11845132164782
"41","MAP4K2",-0.178984209852958,0.0655283980642714,5.67219312591767
"42","C7orf50",-0.180746017594225,0.0179519280793873,7.45917281386472
"43","RARS2",-0.181840634081431,0.00202601121957345,6.81890135333891
"44","VHL",-0.186041341308224,0.000736627261653769,7.0512612042153
"45","CCNG1",-0.191772890971245,5.91434838971729e-06,8.73940432039786
"46","OSBPL6",-0.195618635569806,0.0200363673741595,6.86022067483093
"47","ZNF322",-0.197175523147489,0.0076106722932709,6.4000086497455
"48","PLSCR4",-0.201851464606451,0.086521541833396,5.22610803889972
"49","HMBS",-0.205727138651557,0.000327352830866587,6.78910048630306
"50","ARNT",-0.20739779182228,0.0356400013560468,7.35117663812535
"51","ADD2",-0.209431872610466,0.00275003524484417,6.35405419692335
"52","TBC1D8",-0.213001036153313,0.0216192749602723,7.40037991574932
"53","METTL6",-0.219957871333083,0.0129222293094629,6.09956171034307
"54","LZTFL1",-0.223160421147577,0.00536542929047438,6.06126709154613
"55","TTK",-0.225174704960984,0.000822577405325642,7.60439210399311
"56","ORC3",-0.227556817448599,0.000274110789480054,6.80746437043506
"57","PEX5",-0.237624064361885,0.000215674451838264,7.16455615608677
"58","FKBP5",-0.23959839308165,1.36266913123415e-06,9.78356278472145
"59","KLHDC10",-0.244529954582685,1.09872103031961e-06,7.17991813056305
"60","SLC25A12",-0.245103490810215,0.0013035987597538,6.94108340497616
"61","TNNI2",-0.24900663497327,0.00312635288649507,7.17561109710266
"62","GATA3",-0.249984017464084,0.00109166328289157,5.99043143987795
"63","EIF2S3",-0.251928655638021,3.26845321510172e-10,9.42588648375147
"64","IL17RC",-0.252806362327857,0.0357437444003548,6.11236566645937
"65","TMEM144",-0.257349956223688,0.0149675906475627,5.40523310564429
"66","PICK1",-0.257907598522497,0.000171132861612355,6.35282535946904
"67","SORT1",-0.261878720902606,0.0184200457536711,7.45597573832591
"68","SEMA3F",-0.2667861313354,1.01693720566733e-05,7.3081927393648
"69","RNF20",-0.270518750848062,3.87426093589809e-08,7.20930101276383
"70","CCDC51",-0.283322866490594,0.000186553599833104,6.78721559491522
"71","KIAA1217",-0.285200630182166,0.0225942188340134,7.80320868675258
"72","LIAS",-0.288375424812181,0.00101587187844086,5.62421148162332
"73","UNC80",-0.297485437826708,0.0460735860745508,5.03853311292062
"74","AGER",-0.301191375261192,0.0525458142731195,4.62606957781425
"75","PTCD2",-0.304092824113097,0.000693146115219336,5.69840377321398
"76","KHDRBS3",-0.305356006247884,0.0289354035629636,4.64408569227177
"77","ACACB",-0.306858833834931,0.0145071377078262,5.00251187127011
"78","STK16",-0.307487090867505,9.50495451840795e-05,6.20772080581217
"79","MPP1",-0.338043273404515,2.16851572337463e-06,6.17295247559716
"80","NEDD4L",-0.350515685254575,3.78224899589049e-05,8.24754133095556
"81","ZFP90",-0.350765285054683,1.92813546683049e-06,6.57651975382725
"82","SH3BGRL2",-0.355881107046274,6.99694387128901e-05,5.62308647085327
"83","TNS1",-0.387718487220702,0.0647629809360226,5.43956310265888
"84","NTPCR",-0.389143099117568,1.89747168228936e-11,6.90021200822005
"85","CLGN",-0.390080024820844,0.00659047160806257,4.90320790898918
"86","ID2",-0.391851034254424,0.0628030321319321,3.88437079541953
"87","PCYOX1L",-0.393516563801828,8.5467250287092e-08,6.17073992288897
"88","GLB1L",-0.393880603726641,0.0219965061638,4.28794593705887
"89","OSCP1",-0.40592696657042,0.0180399377557195,4.34396518699748
"90","PTGR2",-0.426585392609923,5.4166263403218e-06,5.48121616749449
