"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","gene_id","ensembl_gene_id"
"1","A2ML1",1.97695658940423e-15,1.56406920570716e-11,4.56200801022585,0.574358934393886,4.52733189215528,7.95188642246658,0.381609142471971,0.338146898658386,0.150270834217153,0.338146898658386,"144568","ENSG00000166535"
"2","AAAS",0.0895983114164513,0.570049892055693,-0.230250512493806,0.135639317223276,9.99572352180995,0.0446111981727509,0.00221332475539483,0.0139960884602031,0.037927819339434,0.037927819339434,"8086","ENSG00000094914"
"3","ABCA1",0.504914318098827,0.858520834569504,0.409017247121862,0.613423962927801,2.74000219093928,2.9500367095065,0.300547244247813,0.520446846575564,0.29620637142547,0.520446846575564,"19","ENSG00000165029"
"4","ABCA12",0.151636326092017,0.647994079439835,0.678326518601901,0.473105097506111,9.20195545760176,0.709033426203456,0.00448969911064471,0.48386324624121,0.0427142042755867,0.48386324624121,"26154","ENSG00000144452"
"5","ABCA6",0.00319638267911459,0.147884102724065,1.96727070065388,0.667280342249791,5.32212682852828,2.74666903825184,0.124733548965367,0.846749480459358,0.116866710805219,0.846749480459358,"23460","ENSG00000154262"
"6","ABCB8",0.524432987527924,0.866133407183547,-0.0850098852732086,0.133552677376978,10.8480745676123,0.479268264375218,0.00380427509954991,0.0254171440484547,0.0351113270122155,0.0351113270122155,"11194","ENSG00000197150"
"7","ABCC1",0.112898984860698,0.600626195832091,0.251268297498137,0.158499244885196,8.31957289436077,0.0530768553437806,0.00320436875984762,0.0189226905521191,0.0516072907947213,0.0516072907947213,"4363","ENSG00000103222"
"8","ABCC11",0.962220189942243,0.993341003828758,0.0353156096813263,0.745563467800751,2.62355427111283,0.730277120227864,0.902268381775836,-0.156248670511538,0.31052772990216,0.31052772990216,"85320","ENSG00000121270"
"9","ABCC2",0.262013136211224,0.742581739973168,-0.487200924694487,0.434362605664056,8.74918383277489,2.67451640833003,0.00824515581543511,0.40340038571024,0.0467128969107247,0.40340038571024,"1244","ENSG00000023839"
"10","ABCC6",0.924905735809233,0.988350139339815,-0.0778008018635802,0.825419431700366,1.65718686731353,1.66452293752647,1.0237389422685,0.185487962795331,0.462771395684711,0.462771395684711,"368","ENSG00000091262"
"11","ABCC9",0.757876386173352,0.949142117830659,0.0902772983710377,0.292850760007222,4.79155465159696,0.120559442235336,0.0493886958720603,0.00289740914139205,0.137727451699156,0.137727451699156,"10060","ENSG00000069431"
"12","ABCD2",0.880288103079529,0.977077503720182,-0.129077624516074,0.857066356231044,2.34626191669879,3.55717539403359,0.356439550085847,1.24624278951377,0.347772322005207,1.24624278951377,"225","ENSG00000173208"
"13","ABCG4",0.566452407098959,0.882430061785031,0.42777336266001,0.746180517446553,2.00842118860019,1.39310930234466,0.56084798708525,0.653956444805964,0.399796738674779,0.653956444805964,"64137","ENSG00000172350"
"14","ABHD13",0.400183941917442,0.81883255072934,0.189732627035318,0.22552509016013,7.85573826996481,0.118974453601834,0.0112055463607538,0.0997651437303036,0.0579407677609444,0.0997651437303036,"84945","ENSG00000139826"
"15","ABHD17A",0.47865137375644,0.848401175527442,0.183520907729592,0.259037146674717,9.92256897224612,0.328785625414088,0.00234046034767642,0.144060070613878,0.0382603875475683,0.144060070613878,"81926","ENSG00000129968"
"16","ABL2",0.302479936077458,0.763339717472667,0.186862762523197,0.181221370223343,10.8195174457288,0.185226631992942,0.0024807528687309,0.069172741732635,0.0351737331639669,0.069172741732635,"27","ENSG00000143322"
"17","ACAD8",0.691080337743313,0.923771201343855,-0.0584741925025874,0.147145831923743,9.11609096776351,0.0471901815371375,0.00385191350247827,0.0152001880428023,0.0433885865394064,0.0433885865394064,"27034","ENSG00000151498"
"18","ACAP1",0.050153786659365,0.480086730980722,0.731304286430069,0.373371596057251,4.34143543606875,0.615999597145664,0.144008266939891,0.0219186438659956,0.16015103940703,0.16015103940703,"9744","ENSG00000072818"
"19","ACAP2",0.37018441125549,0.804582514548991,0.146826309218901,0.163845244631642,9.98899691911221,0.0620595177072311,0.00131473169172599,0.0572567538102432,0.0379575690201435,0.0572567538102432,"23527","ENSG00000114331"
"20","ACIN1",0.387685291383936,0.812603572071535,-0.109988070058911,0.127327134407459,12.2603460201417,0.0481264858248526,0.00052301656811123,0.0157636946342359,0.034849054318613,0.034849054318613,"22985","ENSG00000100813"
"21","ACOX2",0.0926932129104061,0.57169944642306,-0.931179776384388,0.553825685765789,6.38551448353089,4.29372031711811,0.0859073381651066,0.583306240483504,0.0867993033592755,0.583306240483504,"8309","ENSG00000168306"
"22","ACP5",0.703295025296462,0.92828648447395,0.252173172064259,0.662086771021427,4.34195015477934,0.91707708100626,0.163218105997106,0.793201295519069,0.160122359752109,0.793201295519069,"54","ENSG00000102575"
"23","ACSBG1",0.421762352554656,0.825403087198714,-0.337891357263558,0.420593758434841,3.76996047299295,0.301156486436506,0.188622765299909,0.130391952878751,0.197338928447754,0.197338928447754,"23205","ENSG00000103740"
"24","ACSF3",0.172052904792767,0.668166784585837,-0.206408563469529,0.151144522782876,9.3653083532081,0.0842734284524279,0.00359343986618784,0.0462494694442051,0.0415231413892183,0.0462494694442051,"197322","ENSG00000176715"
"25","ACSL3",0.757471436751212,0.949142117830659,-0.0402056298731337,0.130198341332672,12.9900438380389,0.124658003448632,0.00026137399326425,0.0303423095172941,0.0367239527393445,0.0367239527393445,"2181","ENSG00000123983"
