"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"189","ACSM2B",5,4,6,5
"190","ACSM3",2,4,6,4
"191","ACSM4",5,4,3,1
"192","ACSM5",4,4,3,3
"193","ACSS1",1,4,4,1
"194","ACSS2",6,2,4,6
"195","ACSS3",1,2,5,5
"196","ACTA1",7,4,6,4
"197","ACTB",5,4,6,5
"198","ACTBL2",3,1,1,5
"199","ACTC1",5,4,6,3
"200","ACTG1",5,4,6,6
"201","ACTG2",5,6,6,4
"202","ACTL10",4,7,2,7
"203","ACTL6A",1,7,3,7
"204","ACTL6B",2,4,6,5
"205","ACTL7A",2,6,7,2
"206","ACTL7B",4,4,2,5
"207","ACTL8",5,6,7,5
"208","ACTL9",3,4,3,5
"209","ACTN1",6,2,7,1
"210","ACTN1-AS1",4,3,5,1
"211","ACTN2",5,4,6,5
"212","ACTN3",1,2,5,3
"213","ACTN4",1,1,7,5
"214","ACTR10",7,5,2,7
"215","ACTR1A",4,7,7,7
"216","ACTR1B",6,2,3,3
"217","ACTR2",4,5,7,7
"218","ACTR3",7,2,5,7
"219","ACTR3B",5,4,6,5
"220","ACTR3C",5,4,5,5
"221","ACTR5",6,3,3,3
"222","ACTR6",5,4,4,5
"223","ACTR8",4,3,2,7
"224","ACTRT1",2,6,6,2
"225","ACTRT2",5,6,6,5
"226","ACTRT3",1,3,5,7
"227","ACVR1",1,1,4,1
"228","ACVR1B",7,2,7,6
"229","ACVR1C",6,3,4,1
"230","ACVR2A",4,7,6,5
"231","ACVR2B",5,4,1,5
"232","ACVR2B-AS1",6,4,1,5
"233","ACVRL1",1,4,6,5
"234","ACY1",6,2,1,5
"235","ACY3",4,3,3,3
"236","ACYP1",4,3,2,7
"237","ACYP2",1,1,2,1
"238","ADA",6,5,7,6
"239","ADAD1",5,4,7,5
"240","ADAD2",5,3,3,3
"241","ADAL",6,2,3,3
"242","ADAM10",4,1,2,1
"243","ADAM11",5,4,6,1
"244","ADAM12",5,5,6,5
"245","ADAM15",7,1,4,6
"246","ADAM17",4,7,5,7
"247","ADAM18",3,1,4,5
"248","ADAM19",1,1,3,1
"249","ADAM1A",5,6,4,5
"250","ADAM2",5,1,5,7
"251","ADAM20",2,6,3,2
"252","ADAM20P1",2,6,7,2
"253","ADAM21",3,6,5,5
"254","ADAM21P1",5,6,6,5
"255","ADAM22",5,4,5,2
"256","ADAM23",5,5,6,5
"257","ADAM28",2,6,6,2
"258","ADAM29",2,6,7,2
"259","ADAM30",5,1,5,5
"260","ADAM32",1,4,7,5
"261","ADAM33",7,4,1,6
"262","ADAM3A",3,6,1,5
"263","ADAM6",5,1,6,5
"264","ADAM7",2,6,6,2
"265","ADAM8",5,4,4,5
"266","ADAM9",4,7,1,4
"267","ADAMDEC1",2,6,2,5
"268","ADAMTS1",4,5,3,6
"269","ADAMTS10",5,4,6,5
"270","ADAMTS12",7,4,1,5
"271","ADAMTS13",6,4,6,1
"272","ADAMTS14",1,1,1,5
"273","ADAMTS15",6,3,1,6
"274","ADAMTS16",5,4,6,5
"275","ADAMTS17",7,4,6,4
"276","ADAMTS18",5,4,6,5
"277","ADAMTS19",5,4,5,5
"278","ADAMTS2",5,4,6,5
"279","ADAMTS20",5,4,6,4
"280","ADAMTS3",7,1,7,1
"281","ADAMTS4",1,3,1,1
"282","ADAMTS5",4,4,5,5
"283","ADAMTS6",5,3,2,4
"284","ADAMTS7",5,4,6,5
"285","ADAMTS8",5,4,6,5
"286","ADAMTS9",7,4,7,5
"287","ADAMTS9-AS2",3,5,6,6
"288","ADAMTSL1",5,6,6,2
"289","ADAMTSL2",7,4,6,1
"290","ADAMTSL3",5,4,6,5
"291","ADAMTSL4",1,1,7,5
"292","ADAMTSL5",1,4,1,5
"293","ADAP1",5,4,6,5
"294","ADAP2",3,4,6,2
"295","ADAR",7,5,6,6
"296","ADARB1",5,4,6,5
"297","ADARB2",1,7,2,7
"298","ADARB2-AS1",5,4,5,6
"299","ADAT1",1,1,3,4
"300","ADAT2",4,1,5,3
"301","ADAT3",1,2,5,1
"302","ADC",1,7,7,4
"303","ADCK1",1,1,5,1
"304","ADCK2",5,5,1,5
"305","ADCK3",1,2,4,1
"306","ADCK4",4,1,1,7
"307","ADCK5",6,2,6,6
"308","ADCY1",5,4,6,6
"309","ADCY10",3,6,6,2
"310","ADCY2",5,4,6,5
"311","ADCY3",1,2,1,5
"312","ADCY4",5,6,2,5
"313","ADCY6",5,4,6,6
"314","ADCY8",4,7,4,4
"315","ADCY9",5,4,6,5
"316","ADCYAP1",7,5,7,6
"317","ADCYAP1R1",5,5,7,6
"318","ADD1",5,4,6,5
"319","ADD2",7,4,6,7
"320","ADD3",7,5,7,1
"321","ADGB",3,6,6,5
"322","ADH1A",2,6,6,2
"323","ADH1B",2,6,5,2
"324","ADH1C",2,6,6,2
"325","ADH4",2,6,6,2
"326","ADH5",4,7,1,1
"327","ADH6",2,6,7,2
"328","ADH7",3,6,6,2
"329","ADHFE1",6,3,7,5
"330","ADI1",5,3,6,5
"331","ADIG",2,4,5,5
"332","ADIPOQ",5,4,6,5
"333","ADIPOQ-AS1",3,6,6,5
"334","ADIPOR1",6,3,5,3
"335","ADIPOR2",1,5,3,6
"336","ADIRF",4,3,1,7
"337","ADK",1,2,3,7
"338","ADM",6,2,2,3
"339","ADM2",5,4,6,5
"340","ADM5",5,4,6,5
"341","ADNP",5,4,6,5
"342","ADNP2",5,4,2,4
"343","ADO",7,4,7,2
"344","ADORA1",1,2,3,3
"345","ADORA2A",5,4,7,6
"346","ADORA2A-AS1",3,4,6,5
"347","ADORA2B",1,1,5,1
"348","ADORA3",6,3,6,7
"349","ADPGK",6,2,6,6
"350","ADPGK-AS1",1,1,4,1
"351","ADPRH",2,6,6,2
"352","ADPRHL1",1,1,6,6
"353","ADPRHL2",1,4,3,3
"354","ADPRM",6,3,1,6
"355","ADRA1A",7,4,5,6
"356","ADRA1B",1,1,1,7
"357","ADRA1D",5,4,6,5
"358","ADRA2A",7,5,6,5
"359","ADRA2B",5,4,6,5
"360","ADRA2C",1,4,6,5
"361","ADRB1",5,4,6,5
"362","ADRB2",6,7,5,3
"363","ADRB3",5,4,6,2
"364","ADRBK1",6,2,3,6
"365","ADRBK2",7,5,7,6
"366","ADRM1",5,4,6,5
"367","ADSL",4,7,5,3
"368","ADSS",3,4,1,5
"369","ADSSL1",5,4,2,5
"370","ADTRP",2,4,6,5
"371","AEBP1",7,4,6,5
"372","AEBP2",7,5,4,5
"373","AEN",5,1,6,1
"374","AES",4,2,3,3
"375","AFAP1",5,3,6,5
"376","AFAP1-AS1",5,4,4,5
"377","AFAP1L1",7,4,1,5
"378","AFAP1L2",7,2,7,3
"379","AFF1",1,1,4,1
"380","AFF2",5,4,6,5
"381","AFF4",6,5,3,6
"382","AFG3L2",7,5,7,6
"383","AFM",2,6,6,2
"384","AFMID",7,5,7,6
"385","AFP",2,6,6,2
"386","AFTPH",4,1,2,7
"387","AGA",4,4,4,7
"388","AGAP1",5,4,6,5
"389","AGAP11",6,7,2,6
"390","AGAP2-AS1",6,2,1,4
"391","AGAP3",1,4,1,5
"392","AGBL1",2,6,4,2
"393","AGBL1-AS1",1,1,3,7
"394","AGBL2",4,3,1,5
"395","AGBL3",1,7,5,7
"396","AGBL4",6,3,4,6
"397","AGBL5",6,3,3,3
"398","AGER",1,3,6,5
"399","AGFG1",3,4,6,5
"400","AGFG2",4,4,5,7
"401","AGGF1",3,4,1,7
"402","AGK",7,4,4,6
"403","AGL",4,2,2,3
"404","AGMAT",3,6,6,5
"405","AGMO",2,6,6,2
"406","AGO1",1,5,5,5
"407","AGO2",5,4,6,5
"408","AGO3",4,5,1,7
"409","AGO4",5,4,6,5
"410","AGPAT1",6,3,5,3
"411","AGPAT2",5,4,1,1
"412","AGPAT3",5,5,7,1
"413","AGPAT4",3,1,6,4
"414","AGPAT4-IT1",5,4,6,2
"415","AGPAT5",6,3,4,3
"416","AGPAT6",7,5,2,6
"417","AGPAT9",6,2,7,3
"418","AGPHD1",7,7,5,3
"419","AGPS",1,3,3,3
"420","AGR2",3,6,6,2
"421","AGR3",5,6,3,2
"422","AGRN",5,4,6,5
"423","AGRP",7,4,3,6
"424","AGT",3,1,6,7
"425","AGTPBP1",6,2,3,3
"426","AGTR1",3,6,6,5
"427","AGTR2",2,6,7,2
"428","AGTRAP",1,7,2,7
"429","AGXT",6,4,5,5
"430","AGXT2",2,6,4,5
"431","AGXT2L1",4,3,6,5
"432","AGXT2L2",7,3,2,6
"433","AHCTF1",7,1,7,5
"434","AHCYL1",6,3,1,3
"435","AHCYL2",5,2,7,3
"436","AHDC1",6,3,3,3
"437","AHI1",6,3,7,7
"438","AHNAK",1,5,1,6
"439","AHNAK2",1,1,6,1
"440","AHR",4,4,2,7
"441","AHRR",2,4,2,2
"442","AHSA1",6,7,3,1
"443","AHSA2",1,2,7,6
