"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"4904","EFHD1",5,4,6,5
"4905","EFHD2",5,4,6,5
"4906","EFNA1",7,7,1,5
"4907","EFNA2",5,4,6,5
"4908","EFNA3",6,1,1,3
"4909","EFNA5",7,5,7,6
"4910","EFNB1",4,5,1,6
"4911","EFNB2",1,4,6,2
"4912","EFNB3",7,5,5,5
"4913","EFR3A",1,3,4,1
"4914","EFR3B",7,5,7,6
"4915","EFS",5,4,6,5
"4916","EFTUD1",4,3,2,7
"4917","EFTUD1P1",5,1,4,1
"4918","EFTUD2",6,2,3,7
"4919","EGF",2,4,6,4
"4920","EGFL6",3,3,4,1
"4921","EGFL7",5,4,6,6
"4922","EGFLAM",5,4,6,5
"4923","EGFLAM-AS2",2,6,6,2
"4924","EGFLAM-AS4",3,3,1,2
"4925","EGFR",6,2,3,6
"4926","EGFR-AS1",3,4,5,2
"4927","EGLN1",2,6,6,5
"4928","EGLN2",1,1,1,1
"4929","EGLN3",1,7,2,7
"4930","EGOT",3,4,6,2
"4931","EGR1",6,2,7,3
"4932","EGR4",6,3,5,3
"4933","EHBP1",1,1,4,1
"4934","EHBP1L1",7,5,3,6
"4935","EHD1",6,1,6,1
"4936","EHD2",1,3,1,1
"4937","EHD3",3,4,7,2
"4938","EHD4",7,5,6,4
"4939","EHF",5,4,6,5
"4940","EHHADH",4,3,4,1
"4941","EHHADH-AS1",5,4,6,5
"4942","EHMT1",6,2,7,5
"4943","EHMT2",6,3,3,3
"4944","EI24",6,2,3,5
"4945","EID1",1,7,4,4
"4946","EID2",3,1,6,4
"4947","EID2B",1,1,1,4
"4948","EID3",3,6,6,2
"4949","EIF1",7,5,1,6
"4950","EIF1AD",6,7,2,4
"4951","EIF1AX",1,1,6,4
"4952","EIF1AY",5,4,6,5
"4953","EIF1B",1,7,1,1
"4954","EIF1B-AS1",6,3,3,6
"4955","EIF2A",6,5,2,6
"4956","EIF2AK1",5,3,4,1
"4957","EIF2AK3",4,5,2,7
"4958","EIF2AK4",4,7,3,7
"4959","EIF2B1",4,1,2,7
"4960","EIF2B2",4,7,5,7
"4961","EIF2B3",4,3,3,1
"4962","EIF2B4",6,4,1,3
"4963","EIF2B5",1,7,1,1
"4964","EIF2D",1,1,1,5
"4965","EIF2S1",3,7,1,4
"4966","EIF2S2",1,7,2,4
"4967","EIF2S3",4,7,6,1
"4968","EIF3A",4,2,7,6
"4969","EIF3B",3,3,7,5
"4970","EIF3C",5,4,6,5
"4971","EIF3D",1,2,5,7
"4972","EIF3E",3,1,1,4
"4973","EIF3F",2,6,6,2
"4974","EIF3G",1,1,2,4
"4975","EIF3H",3,1,7,4
"4976","EIF3I",6,7,6,3
"4977","EIF3IP1",3,1,3,2
"4978","EIF3J",6,2,7,5
"4979","EIF3J-AS1",1,7,2,5
"4980","EIF3K",7,2,2,1
"4981","EIF3L",4,5,1,4
"4982","EIF3M",4,7,2,4
"4983","EIF4A2",7,1,7,4
"4984","EIF4A3",7,4,7,4
"4985","EIF4B",4,4,5,5
"4986","EIF4E1B",5,4,1,5
"4987","EIF4E2",6,2,3,3
"4988","EIF4EBP1",1,5,4,1
"4989","EIF4EBP2",5,4,5,5
"4990","EIF4EBP3",1,4,6,5
"4991","EIF4ENIF1",1,1,1,1
"4992","EIF4G1",5,3,3,5
"4993","EIF4G2",7,5,5,5
"4994","EIF4G3",6,2,3,3
"4995","EIF4H",7,4,5,1
"4996","EIF5",7,4,2,3
"4997","EIF5A",5,7,6,7
"4998","EIF5A2",6,5,3,7
"4999","EIF5AL1",5,4,6,5
"5000","EIF5B",6,3,3,3
"5001","EIF6",4,7,2,7
"5002","ELAC1",1,3,3,1
"5003","ELAC2",1,1,4,1
"5004","ELANE",5,4,6,5
"5005","ELAVL1",7,5,7,6
"5006","ELAVL3",5,4,6,2
"5007","ELAVL4",2,6,6,5
"5008","ELF3",6,7,1,7
"5009","ELF4",5,4,6,5
"5010","ELF5",3,4,7,6
"5011","ELFN1",6,3,5,7
"5012","ELFN2",4,4,1,5
"5013","ELK1",7,5,3,7
"5014","ELK3",7,5,7,6
"5015","ELL",4,7,2,2
"5016","ELL2",1,3,7,1
"5017","ELL3",4,7,2,1
"5018","ELMO2",1,1,4,1
"5019","ELMO3",4,7,5,7
"5020","ELMOD1",5,3,6,1
"5021","ELMOD2",4,1,2,7
"5022","ELMOD3",1,7,2,1
"5023","ELMSAN1",5,4,7,5
"5024","ELN",5,4,3,5
"5025","ELOF1",7,7,4,1
"5026","ELOVL1",4,1,5,7
"5027","ELOVL2",5,4,6,5
"5028","ELOVL2-AS1",6,4,6,3
"5029","ELOVL3",7,5,5,5
"5030","ELOVL4",1,2,2,7
"5031","ELOVL5",4,7,4,3
"5032","ELOVL6",6,7,2,6
"5033","ELOVL7",7,4,2,5
"5034","ELP2",6,7,5,7
"5035","ELP3",4,7,3,3
"5036","ELP4",5,1,7,4
"5037","ELP5",1,1,2,6
"5038","ELP6",4,7,3,3
"5039","ELSPBP1",2,6,6,2
"5040","ELTD1",3,6,7,5
"5041","EMB",4,3,2,7
"5042","EMC1",4,3,1,7
"5043","EMC10",6,7,7,7
"5044","EMC2",4,7,1,7
"5045","EMC3",4,7,2,6
"5046","EMC4",5,1,6,4
"5047","EMC6",7,7,2,6
"5048","EMC7",1,7,1,4
"5049","EMC8",5,4,5,1
"5050","EMC9",1,7,5,7
"5051","EMCN",2,6,6,2
"5052","EMCN-IT3",2,6,6,5
"5053","EMD",7,4,3,5
"5054","EME1",6,3,3,7
"5055","EME2",1,4,4,5
"5056","EMG1",1,1,7,6
"5057","EMID1",7,5,6,5
"5058","EMILIN1",7,4,7,6
"5059","EMILIN2",5,5,6,5
"5060","EMILIN3",5,5,7,3
"5061","EML1",5,4,6,5
"5062","EML3",6,4,7,5
"5063","EML4",1,7,3,7
"5064","EML5",7,5,4,1
"5065","EML6",1,4,1,1
"5066","EMP1",5,1,1,4
"5067","EMP2",6,2,2,3
"5068","EMP3",4,3,3,7
"5069","EMR1",2,6,4,2
"5070","EMR3",2,4,7,5
"5071","EMR4P",5,4,5,5
"5072","EMX1",6,2,7,6
"5073","EMX2",4,4,6,6
"5074","EMX2OS",5,4,2,2
"5075","EN1",5,4,6,2
"5076","EN2",5,4,6,5
"5077","ENAH",5,4,6,5
"5078","ENAM",2,6,6,2
"5079","ENC1",1,3,3,1
"5080","ENDOD1",6,3,4,3
"5081","ENDOG",4,4,6,4
"5082","ENDOU",4,4,4,2
"5083","ENDOV",6,5,7,3
"5084","ENG",6,3,2,3
"5085","ENGASE",5,5,7,3
"5086","ENHO",7,5,1,6
"5087","ENKD1",7,4,6,6
"5088","ENKUR",7,5,7,2
"5089","ENO1",7,5,7,6
"5090","ENO1-AS1",6,2,3,3
"5091","ENO2",6,3,3,1
"5092","ENO3",6,1,3,5
"5093","ENO4",4,7,4,7
"5094","ENOPH1",6,3,5,3
"5095","ENOSF1",6,5,7,6
"5096","ENOX1",2,6,2,2
"5097","ENOX2",3,1,1,4
"5098","ENPEP",3,4,4,1
"5099","ENPP1",6,2,1,3
"5100","ENPP3",2,6,6,2
"5101","ENPP4",5,4,6,4
"5102","ENPP5",4,4,6,4
"5103","ENPP6",5,6,6,5
"5104","ENPP7",5,4,6,7
"5105","ENSA",1,7,6,4
"5106","ENTHD1",4,4,4,1
"5107","ENTHD2",5,4,2,4
"5108","ENTPD1",3,6,6,5
"5109","ENTPD1-AS1",1,1,1,1
"5110","ENTPD2",5,4,7,5
"5111","ENTPD3",4,7,4,1
"5112","ENTPD3-AS1",1,3,4,1
"5113","ENTPD4",5,3,3,5
"5114","ENTPD5",6,2,3,3
"5115","ENTPD6",7,4,7,6
"5116","ENTPD7",4,7,2,3
"5117","ENTPD8",5,4,6,5
"5118","ENY2",7,7,7,4
"5119","EOGT",7,5,7,6
"5120","EOMES",1,5,7,5
"5121","EP300",4,7,2,1
"5122","EP400",7,4,3,5
"5123","EPAS1",4,7,6,7
"5124","EPB41",4,3,3,7
"5125","EPB41L1",5,4,4,6
"5126","EPB41L2",5,4,3,3
"5127","EPB41L3",3,4,7,5
"5128","EPB41L4A",7,5,1,3
"5129","EPB41L4A-AS1",5,2,2,1
"5130","EPB41L4B",5,4,6,5
"5131","EPB41L5",5,4,6,5
"5132","EPB42",3,1,1,7
"5133","EPC1",1,1,6,1
"5134","EPC2",4,1,1,2
"5135","EPCAM",5,4,3,5
"5136","EPDR1",3,4,2,7
"5137","EPG5",4,7,2,6
"5138","EPGN",2,6,6,2
"5139","EPHA1",3,6,6,1
"5140","EPHA1-AS1",4,2,1,7
"5141","EPHA10",5,5,5,6
"5142","EPHA2",4,5,3,3
"5143","EPHA3",4,1,3,5
"5144","EPHA4",4,7,2,6
"5145","EPHA5",7,4,2,6
"5146","EPHA6",7,5,1,1
"5147","EPHA7",5,4,7,5
"5148","EPHA8",7,1,6,5
"5149","EPHB1",5,4,6,5
"5150","EPHB2",5,4,6,6
"5151","EPHB3",5,4,6,5
"5152","EPHB4",7,5,7,6
"5153","EPHB6",7,5,7,6
"5154","EPHX1",1,3,4,5
"5155","EPHX2",5,3,4,6
"5156","EPHX3",5,4,6,5
"5157","EPHX4",5,4,7,7
"5158","EPM2A",4,4,2,7
"5159","EPM2AIP1",1,1,1,4
"5160","EPN1",3,4,7,2
"5161","EPN2",1,1,4,1
"5162","EPN2-AS1",3,4,2,7
"5163","EPN2-IT1",2,4,3,5
"5164","EPN3",6,4,2,7
"5165","EPO",5,4,7,5
"5166","EPOR",5,4,6,5
"5167","EPPIN-WFDC6",5,4,6,5
"5168","EPPK1",4,4,5,5
"5169","EPRS",1,1,1,1
"5170","EPS15L1",6,2,3,6
"5171","EPS8",6,5,3,6
"5172","EPS8L1",4,5,3,7
"5173","EPS8L2",5,4,6,5
"5174","EPS8L3",6,4,3,3
"5175","EPSTI1",3,4,3,5
"5176","EPT1",4,5,7,3
"5177","EPX",1,5,3,3
"5178","EPYC",2,6,6,5
"5179","EQTN",2,6,4,2
"5180","ERAL1",4,7,3,4
"5181","ERAP1",4,5,2,7
"5182","ERAP2",5,4,1,5
"5183","ERBB2",4,3,3,3
"5184","ERBB2IP",4,1,2,7
"5185","ERBB3",6,7,3,6
"5186","ERBB4",7,3,3,5
"5187","ERC1",5,3,2,3
"5188","ERC2",5,4,6,6
"5189","ERC2-IT1",3,6,6,5
"5190","ERCC1",6,2,5,6
"5191","ERCC2",1,5,3,4
"5192","ERCC3",5,3,6,1
"5193","ERCC4",4,3,4,3
"5194","ERCC6",6,7,3,6
"5195","ERCC6L",6,2,5,7
"5196","ERCC6L2",6,2,1,7
"5197","ERCC8",7,2,7,6
"5198","EREG",4,2,3,5
"5199","ERF",5,4,6,3
"5200","ERGIC1",5,3,6,1
"5201","ERGIC2",3,1,6,4
"5202","ERGIC3",4,7,6,7
"5203","ERH",3,7,5,7
"5204","ERI1",1,1,7,5
"5205","ERI2",4,7,3,3
"5206","ERI3",3,4,5,6
"5207","ERICH1",6,4,6,4
"5208","ERLEC1",6,2,1,1
"5209","ERLIN1",6,2,4,1
"5210","ERLIN2",1,2,6,7
"5211","ERMAP",3,4,2,2
"5212","ERMP1",4,4,6,5
"5213","ERN1",7,4,6,6
"5214","ERN2",5,4,5,5
"5215","ERO1L",7,4,3,2
"5216","ERO1LB",4,7,5,3
"5217","ERP27",3,6,6,2
"5218","ERP29",7,2,4,3
"5219","ERP44",1,7,4,7
"5220","ERRFI1",7,5,7,6
"5221","ERV3-1",3,1,4,4
"5222","ERVFRD-1",3,1,1,5
"5223","ERVK13-1",5,5,7,5
"5224","ERVMER34-1",6,2,5,7
"5225","ERVV-1",5,6,3,2
"5226","ERVV-2",5,4,4,2
"5227","ESAM",7,5,4,6
"5228","ESCO1",6,3,2,6
"5229","ESCO2",5,3,3,7
"5230","ESD",1,7,1,1
"5231","ESF1",1,7,6,7
"5232","ESM1",1,4,1,7
"5233","ESPL1",4,7,1,1
"5234","ESPN",7,5,3,6
"5235","ESPNL",6,4,7,5
"5236","ESPNP",6,3,5,5
"5237","ESR1",3,6,6,4
"5238","ESR2",6,5,5,5
"5239","ESRP1",6,5,2,7
"5240","ESRP2",6,3,4,3
"5241","ESRRA",7,5,4,6
"5242","ESRRB",4,1,3,2
"5243","ESRRG",5,4,5,2
"5244","ESX1",1,1,6,4
"5245","ESYT1",4,7,5,1
"5246","ESYT2",7,2,3,5
"5247","ESYT3",1,1,4,6
"5248","ETAA1",3,1,3,7
"5249","ETF1",6,2,5,3
"5250","ETFA",1,1,4,1
"5251","ETFDH",1,7,2,7
"5252","ETHE1",4,3,3,7
"5253","ETNK1",4,1,2,1
"5254","ETNK2",6,5,3,5
"5255","ETS1",2,4,6,4
"5256","ETS2",6,2,5,1
"5257","ETV1",5,4,6,5
"5258","ETV2",3,4,6,5
"5259","ETV3",5,2,2,7
"5260","ETV3L",5,4,6,4
"5261","ETV4",4,4,3,3
"5262","ETV5",5,5,6,5
"5263","ETV6",3,1,1,1
"5264","ETV7",6,2,3,1
"5265","EVA1A",4,2,3,3
"5266","EVA1B",6,1,4,7
"5267","EVA1C",7,5,3,5
"5268","EVC",6,3,5,6
"5269","EVC2",6,3,4,5
"5270","EVI2A",3,4,4,5
"5271","EVI2B",3,6,6,2
"5272","EVI5",2,6,6,5
"5273","EVI5L",5,1,4,5
"5274","EVL",5,4,5,2
"5275","EVPL",4,7,3,7
"5276","EVPLL",4,2,5,7
"5277","EVX1",3,6,6,5
"5278","EVX2",5,4,6,4
"5279","EWSR1",1,5,6,1
"5280","EXD1",7,2,7,7
"5281","EXD2",1,1,4,1
"5282","EXD3",5,4,6,5
"5283","EXO1",4,3,2,3
"5284","EXO5",4,2,7,7
"5285","EXOC1",3,1,1,4
"5286","EXOC2",5,3,6,3
"5287","EXOC3",6,5,7,7
"5288","EXOC3L1",6,4,2,1
"5289","EXOC3L2",5,4,6,5
"5290","EXOC3L4",6,1,4,7
"5291","EXOC4",3,1,1,4
"5292","EXOC5",4,5,4,1
"5293","EXOC6",4,3,2,3
"5294","EXOC6B",4,7,2,7
"5295","EXOC7",4,7,1,7
"5296","EXOC8",4,7,1,4
"5297","EXOG",1,1,2,1
"5298","EXOSC1",1,1,2,4
"5299","EXOSC10",1,1,4,7
"5300","EXOSC2",1,1,6,4
"5301","EXOSC3",1,3,2,3
"5302","EXOSC4",6,5,2,3
"5303","EXOSC5",4,1,1,7
"5304","EXOSC6",4,2,3,3
"5305","EXOSC7",7,7,2,7
"5306","EXOSC8",4,1,5,1
"5307","EXOSC9",3,4,4,6
"5308","EXPH5",1,7,1,1
"5309","EXT1",7,1,7,1
"5310","EXT2",4,3,2,7
"5311","EXTL1",5,4,7,5
"5312","EXTL2",4,7,3,3
"5313","EXTL3",7,5,7,6
"5314","EYA1",3,4,3,2
"5315","EYA2",5,4,5,5
"5316","EYA3",4,7,2,7
"5317","EYA4",5,4,6,5
"5318","EYS",2,6,3,2
"5319","EZH1",1,7,4,3
"5320","EZH2",5,4,6,3
"5321","F10",1,1,1,1
"5322","F11",2,6,6,5
"5323","F11R",1,7,2,7
"5324","F12",1,4,6,7
"5325","F13A1",1,7,4,3
"5326","F13B",2,6,6,2
"5327","F2",3,4,6,5
"5328","F2R",7,5,3,5
"5329","F2RL1",4,7,2,7
"5330","F2RL2",2,6,4,5
"5331","F2RL3",4,4,6,3
"5332","F3",5,4,3,5
"5333","F5",4,4,6,5
"5334","F7",5,4,6,7
"5335","F8",5,6,6,2
"5336","F8A1",5,4,6,5
"5337","F9",2,6,6,2
"5338","FA2H",6,2,4,3
"5339","FAAH",1,1,3,4
"5340","FAAH2",2,6,6,2
"5341","FABP1",2,6,6,2
"5342","FABP12",2,6,4,2
"5343","FABP2",2,6,6,2
"5344","FABP3",5,4,3,2
"5345","FABP4",2,6,6,2
"5346","FABP5",5,4,7,7
"5347","FABP5P3",5,4,6,5
"5348","FABP6",4,4,1,7
"5349","FABP7",5,4,5,5
"5350","FABP9",2,6,6,2
"5351","FADD",5,4,3,5
"5352","FADS1",6,2,4,6
"5353","FADS2",1,1,4,5
"5354","FADS3",1,1,4,1
"5355","FADS6",5,4,6,5
"5356","FAF1",4,2,6,3
"5357","FAF2",4,5,2,7
"5358","FAH",4,1,5,7
"5359","FAHD1",1,7,4,1
"5360","FAHD2A",6,7,3,7
"5361","FAHD2B",7,4,7,6
"5362","FAHD2CP",6,4,5,3
"5363","FAIM",4,3,5,7
"5364","FAIM2",1,1,6,7
"5365","FAIM3",2,4,6,2
"5366","FAM101A",5,4,6,5
"5367","FAM101B",5,4,4,5
"5368","FAM102A",1,4,4,1
"5369","FAM102B",4,1,1,5
"5370","FAM103A1",6,2,7,3
"5371","FAM104A",1,1,6,7
"5372","FAM104B",6,3,4,3
"5373","FAM105A",6,3,7,6
"5374","FAM105B",6,2,4,3
"5375","FAM106A",5,4,6,7
"5376","FAM106CP",1,4,1,5
"5377","FAM107A",5,4,6,5
"5378","FAM107B",3,4,3,1
"5379","FAM109A",6,4,6,1
"5380","FAM109B",5,4,7,5
"5381","FAM110A",5,2,5,3
"5382","FAM110B",5,5,6,5
"5383","FAM110C",4,5,2,6
"5384","FAM110D",1,5,6,3
"5385","FAM111A",4,7,2,7
"5386","FAM111B",7,2,4,3
"5387","FAM114A1",6,2,6,7
"5388","FAM114A2",5,7,3,3
"5389","FAM115A",4,1,5,5
"5390","FAM115C",5,4,6,5
"5391","FAM117A",5,4,4,1
"5392","FAM117B",7,5,7,6
"5393","FAM118A",7,5,4,6
"5394","FAM118B",6,7,7,7
"5395","FAM120A",1,4,1,1
"5396","FAM120AOS",1,1,2,7
"5397","FAM120B",1,1,2,1
"5398","FAM120C",6,3,2,3
"5399","FAM122A",1,5,2,1
"5400","FAM122B",1,5,3,3
"5401","FAM122C",3,1,7,2
"5402","FAM124A",5,4,7,6
"5403","FAM124B",3,1,6,5
"5404","FAM126A",3,4,2,7
"5405","FAM126B",4,1,1,4
"5406","FAM127A",4,7,4,1
"5407","FAM127B",1,1,4,4
"5408","FAM127C",1,7,5,7
"5409","FAM129A",6,2,3,7
"5410","FAM129B",7,4,6,5
"5411","FAM129C",5,4,6,5
"5412","FAM131A",6,2,3,1
"5413","FAM131B",1,1,6,1
"5414","FAM131C",5,4,6,5
"5415","FAM132A",5,6,6,5
"5416","FAM133A",7,6,2,2
"5417","FAM133B",4,7,1,7
"5418","FAM133CP",2,6,7,2
"5419","FAM134A",7,2,7,6
"5420","FAM134C",1,7,2,1
"5421","FAM135A",2,6,6,5
"5422","FAM135B",1,4,4,5
"5423","FAM136A",4,1,2,5
"5424","FAM13A",3,4,2,2
"5425","FAM13B",1,2,4,7
"5426","FAM13C",5,4,4,6
"5427","FAM149A",2,6,6,4
"5428","FAM149B1",1,1,5,1
"5429","FAM150A",5,4,6,5
"5430","FAM150B",5,4,6,5
"5431","FAM151A",5,4,6,2
"5432","FAM151B",4,3,2,1
"5433","FAM153A",5,4,6,5
"5434","FAM153B",5,4,6,5
"5435","FAM153C",5,4,6,5
"5436","FAM154A",5,4,5,1
"5437","FAM154B",6,7,2,3
"5438","FAM155A",5,4,6,5
"5439","FAM155B",5,4,6,5
"5440","FAM156A",5,4,6,5
"5441","FAM157A",5,4,6,5
"5442","FAM157B",5,4,6,5
"5443","FAM159A",7,4,4,5
"5444","FAM159B",5,4,6,5
"5445","FAM160A1",4,7,5,7
"5446","FAM160A2",4,7,1,6
"5447","FAM160B1",5,2,3,3
"5448","FAM160B2",1,4,4,1
"5449","FAM161A",4,7,4,1
"5450","FAM161B",1,1,2,1
"5451","FAM162A",4,3,2,7
"5452","FAM162B",5,4,6,5
"5453","FAM163A",5,4,6,5
"5454","FAM163B",4,4,5,1
"5455","FAM166A",6,5,4,3
"5456","FAM166B",5,5,4,3
"5457","FAM167A",6,3,1,3
"5458","FAM167B",5,4,6,7
"5459","FAM168A",6,2,2,7
"5460","FAM168B",6,2,6,5
"5461","FAM169A",3,3,3,5
"5462","FAM169B",2,6,6,5
"5463","FAM170A",2,4,1,4
"5464","FAM170B",5,3,1,5
"5465","FAM170B-AS1",2,4,4,2
"5466","FAM171A1",5,4,7,5
"5467","FAM171A2",6,3,6,3
"5468","FAM171B",6,3,7,3
"5469","FAM172A",1,1,1,4
"5470","FAM172BP",5,6,5,2
"5471","FAM173A",5,4,6,5
"5472","FAM173B",3,5,1,5
"5473","FAM174A",1,1,4,4
"5474","FAM174B",5,3,5,5
"5475","FAM175A",1,1,4,1
"5476","FAM175B",5,4,6,5
"5477","FAM177A1",4,7,2,7
"5478","FAM177B",2,4,6,5
"5479","FAM178A",4,4,5,5
"5480","FAM178B",5,4,6,1
"5481","FAM179A",5,4,3,5
"5482","FAM179B",1,7,2,7
"5483","FAM180A",5,5,4,5
"5484","FAM180B",4,1,6,6
"5485","FAM181A",7,4,3,6
"5486","FAM181A-AS1",7,4,6,6
"5487","FAM181B",5,4,6,2
"5488","FAM183A",5,4,5,5
"5489","FAM183B",3,1,7,3
"5490","FAM184B",7,4,1,5
"5491","FAM185A",3,5,7,2
"5492","FAM186A",2,4,4,4
"5493","FAM186B",5,4,1,5
"5494","FAM187B",5,6,5,2
"5495","FAM188A",1,1,1,4
"5496","FAM188B",6,7,3,3
"5497","FAM189A1",5,4,6,5
"5498","FAM189A2",3,1,4,7
"5499","FAM189B",7,3,4,3
"5500","FAM192A",6,3,3,6
"5501","FAM193B",5,4,1,5
"5502","FAM194A",1,1,6,1
"5503","FAM194B",4,3,5,5
"5504","FAM195A",5,4,6,5
"5505","FAM195B",6,4,3,3
"5506","FAM196A",5,4,6,5
"5507","FAM196B",2,6,6,2
"5508","FAM198A",5,4,6,4
"5509","FAM198B",2,4,5,5
"5510","FAM199X",7,4,4,6
"5511","FAM19A1",2,6,4,2
"5512","FAM19A2",2,6,3,2
"5513","FAM19A3",7,5,6,7
"5514","FAM19A4",5,4,6,5
"5515","FAM19A5",5,4,6,5
"5516","FAM200A",4,4,2,5
"5517","FAM200B",4,1,2,7
"5518","FAM201A",4,4,5,5
"5519","FAM203A",5,4,6,5
"5520","FAM204A",1,1,6,4
"5521","FAM205A",2,6,6,2
"5522","FAM205B",2,6,6,2
"5523","FAM206A",4,7,2,7
"5524","FAM207A",5,2,4,1
"5525","FAM208A",1,7,2,1
"5526","FAM208B",7,3,5,6
"5527","FAM209B",5,4,2,7
"5528","FAM20A",7,4,7,5
"5529","FAM20B",7,2,6,5
"5530","FAM20C",5,4,6,5
"5531","FAM210A",6,3,1,3
"5532","FAM210B",5,2,4,1
"5533","FAM211A",5,4,6,6
"5534","FAM211B",6,3,3,3
"5535","FAM212A",1,2,2,1
"5536","FAM212B",1,7,4,3
"5537","FAM213A",4,1,1,5
"5538","FAM213B",6,3,3,3
"5539","FAM214A",6,5,3,7
"5540","FAM214B",6,2,3,7
"5541","FAM215A",5,4,3,5
"5542","FAM216A",6,2,1,6
"5543","FAM216B",2,6,6,2
"5544","FAM217A",5,4,6,5
"5545","FAM217B",4,7,2,7
"5546","FAM218A",4,1,5,7
"5547","FAM219A",7,2,7,1
"5548","FAM219B",5,5,6,7
"5549","FAM21A",5,5,6,6
"5550","FAM21B",5,4,6,5
"5551","FAM21C",5,3,6,3
"5552","FAM220A",5,4,5,5
"5553","FAM221A",5,4,6,5
"5554","FAM221B",6,2,5,3
"5555","FAM222A",5,4,5,5
"5556","FAM222A-AS1",6,3,4,4
"5557","FAM222B",4,7,3,7
"5558","FAM223B",5,4,6,5
"5559","FAM224B",5,4,6,5
"5560","FAM225A",3,4,3,5
"5561","FAM225B",5,4,6,5
"5562","FAM226B",5,4,6,5
"5563","FAM227A",6,5,5,1
"5564","FAM227B",6,3,2,3
"5565","FAM228A",6,4,6,3
"5566","FAM228B",6,5,3,6
"5567","FAM229A",5,4,7,6
"5568","FAM229B",5,4,3,5
"5569","FAM24A",2,6,6,5
"5570","FAM24B",1,7,3,7
"5571","FAM26D",2,6,6,2
"5572","FAM26E",2,1,6,2
"5573","FAM26F",3,6,6,2
"5574","FAM27L",5,6,6,2
"5575","FAM32A",1,7,1,5
"5576","FAM35A",7,1,1,6
"5577","FAM3A",7,5,2,7
"5578","FAM3B",5,4,6,1
"5579","FAM3C",5,4,3,5
"5580","FAM3D",5,4,5,4
"5581","FAM41AY2",5,4,6,5
"5582","FAM41C",7,7,6,5
"5583","FAM43A",1,1,5,5
"5584","FAM43B",5,4,5,5
"5585","FAM45B",7,4,6,6
"5586","FAM46A",1,7,4,4
"5587","FAM46B",5,5,6,6
"5588","FAM46C",6,2,7,6
"5589","FAM46D",5,6,6,5
"5590","FAM47A",3,1,6,1
"5591","FAM47B",3,4,5,2
"5592","FAM47C",3,4,5,7
"5593","FAM47E",6,3,5,3
"5594","FAM49A",7,5,6,5
"5595","FAM49B",7,3,3,3
"5596","FAM50A",7,4,4,5
"5597","FAM50B",7,4,7,6
"5598","FAM53A",5,4,6,5
"5599","FAM53B",5,5,6,6
"5600","FAM53C",1,7,7,7
"5601","FAM57A",5,4,6,5
"5602","FAM57B",7,4,6,6
"5603","FAM58A",5,4,6,5
"5604","FAM5B",5,2,6,3
"5605","FAM5C",2,6,6,5
"5606","FAM60A",6,7,7,4
"5607","FAM63A",6,5,5,3
"5608","FAM63B",6,3,4,4
"5609","FAM64A",7,5,4,6
"5610","FAM65A",4,7,5,7
"5611","FAM65B",4,5,7,6
"5612","FAM65C",1,5,4,5
"5613","FAM69A",5,4,6,5
"5614","FAM69B",5,4,6,5
"5615","FAM69C",5,4,6,5
"5616","FAM71A",3,1,2,2
"5617","FAM71B",3,4,4,5
"5618","FAM71C",5,6,5,5
"5619","FAM71D",3,6,1,5
"5620","FAM71E1",4,7,1,7
"5621","FAM71E2",4,4,6,7
"5622","FAM71F1",5,4,6,7
"5623","FAM71F2",5,4,6,5
"5624","FAM72A",5,4,6,5
"5625","FAM72B",3,4,6,5
"5626","FAM72D",3,4,6,5
"5627","FAM73A",1,1,4,4
"5628","FAM73B",6,2,5,3
"5629","FAM76A",5,5,7,3
"5630","FAM76B",4,3,3,1
"5631","FAM78A",5,4,6,5
"5632","FAM78B",5,4,6,5
"5633","FAM81A",1,1,3,6
"5634","FAM81B",3,6,7,5
"5635","FAM83A",6,7,3,1
"5636","FAM83A-AS1",2,6,3,2
"5637","FAM83B",6,3,2,3
"5638","FAM83C",5,4,6,5
"5639","FAM83D",1,5,7,2
"5640","FAM83E",7,5,7,6
"5641","FAM83F",5,4,6,5
"5642","FAM83G",6,2,3,1
"5643","FAM83H",5,4,6,5
"5644","FAM84A",4,5,4,7
"5645","FAM84B",1,1,5,1
"5646","FAM86B3P",5,4,6,5
"5647","FAM86C1",6,2,4,3
"5648","FAM86C2P",7,5,3,6
"5649","FAM86EP",5,2,7,6
"5650","FAM86JP",1,7,5,1
"5651","FAM89A",6,3,3,3
"5652","FAM89B",6,3,3,3
"5653","FAM8A1",5,3,2,5
"5654","FAM90A27P",5,4,6,5
"5655","FAM90A2P",5,4,6,5
"5656","FAM91A1",4,1,6,4
"5657","FAM92A1",4,3,6,7
"5658","FAM92A1P2",2,6,6,5
"5659","FAM92B",3,2,3,3
"5660","FAM95A",5,4,6,5
"5661","FAM96A",1,7,4,3
"5662","FAM96B",6,3,3,3
"5663","FAM98A",1,7,1,1
"5664","FAM98B",3,1,2,4
"5665","FAM98C",4,7,3,7
"5666","FAM99A",5,3,6,5
"5667","FAM99B",4,3,1,7
"5668","FAM9A",5,4,5,4
"5669","FAM9B",5,3,5,5
"5670","FAM9C",5,4,6,5
"5671","FAN1",6,4,5,3
"5672","FANCA",5,2,6,3
"5673","FANCB",5,5,5,6
"5674","FANCC",4,1,3,3
"5675","FANCD2",4,5,7,6
"5676","FANCD2OS",3,4,1,5
