"","target_id","b","qval","mean_obs"
"1","SPRR1A",5.12398868396542,4.84078826304426e-26,2.74790636904459
"2","KRT4",5.08899997181639,3.92071374576107e-64,1.85135280534825
"3","CRNN",4.12258997947264,1.03800583541658e-26,1.36814780917637
"4","KRTDAP",4.01191296831122,2.43553617534262e-16,2.15352335801238
"5","MUC21",3.55896243001307,2.02968356049574e-14,2.89214548896077
"6","DGKI",3.51819344741119,3.42256374927874e-13,1.77217932688403
"7","A2ML1",3.38452723248079,5.15948583276797e-52,3.94415329262848
"8","CERS3",3.26647209635084,3.46477640524269e-11,0.940088867615472
"9","POSTN",3.22685113554384,2.17648083526066e-13,2.81088993831924
"10","OVOL1",2.59155585783121,2.95822534019565e-05,1.58276202844827
"11","CUX2",2.35218964184982,3.78281428447443e-05,1.18841919539844
"12","RAB25",2.10060915697059,3.91995276114899e-06,2.45123723414128
"13","PTHLH",1.89956416573132,8.31295131001225e-19,3.70512690385989
"14","ITGB3",1.86613692030443,0.000159500736156954,2.36285059756162
"15","APOD",1.64276824856176,5.28979337399456e-05,3.42781645988995
"16","SCEL",1.60405431358127,6.27746321868408e-10,3.98737548999869
"17","RGCC",1.51673422130808,0.000576555851167413,3.7841568219328
"18","MICALCL",1.46299309154245,9.28055777410396e-13,3.62663398675238
"19","COL6A3",1.44186876307216,3.04132753509318e-14,5.22782832942648
"20","CST6",1.35235861646309,4.43417634959451e-15,4.01524851729631
"21","GLIS1",1.28180377605352,0.0118133314280301,2.09611003780912
"22","AMZ1",1.17354044622754,0.0426098167309234,1.9243906950989
"23","F3",1.16583216264483,9.58106882449005e-08,8.45723162800995
"24","MYL9",1.16368128746843,1.07011873485807e-50,5.92729412996752
"25","IL34",1.13630013342612,0.0034765436000319,2.63782039354645
"26","MGP",1.10151979135305,0.0766488762987812,1.83946334945081
"27","MIR4292",1.07696837073181,0.0768524513987302,1.93734201095601
"28","HES4",1.06012273200859,0.00307669764875284,5.43315231468798
"29","P4HA3",0.975137390674316,1.83062216276037e-06,3.78682295083662
"30","C2orf91",0.972584772709748,0.0125215276756412,2.5954713297939
"31","GLP2R",0.966351991708599,0.0738761613649444,1.83309142474808
"32","EDN1",0.95157379424878,8.14293966835994e-24,5.25509516088178
"33","IGFBP3",0.910547811097874,0.0204451650642158,2.41142667419109
"34","LGALS7B",0.849587328832502,1.00231071495273e-06,4.19227895642813
"35","VSTM2L",0.835504303642662,3.76158154322489e-14,5.18593800919976
"36","NUTM2G",0.832254402176147,0.0312720426137437,2.63359899392437
"37","JUN",0.829093345756689,2.10308113598109e-18,6.80713391723169
"38","WIPF1",0.813188964939539,3.6274272775686e-18,5.83671277191032
"39","FAP",0.802617431297334,1.07819566744994e-39,6.35189940929238
"40","CTXN1",0.794880919666571,0.000771193359491979,4.41183026934646
"41","PHACTR3",0.777025459001218,0.0141745620658394,3.52810767478684
"42","RTN4RL1",0.768301311699587,4.8377059094358e-08,4.49599933167761
"43","ZEB2",0.715908374335593,0.000268835866555984,4.51265456360771
"44","TACSTD2",0.710050133934574,4.04674552629488e-11,7.27245689768181
"45","ACAP1",0.678622142468609,0.0313869752439087,3.08907475349399
"46","ALOX12B",0.668859897367447,0.0586111778967311,2.76228609060562
"47","ADAMTS6",0.64849672156377,8.81778407233778e-05,4.42210300355879
"48","CA2",0.633066656937275,1.57355216009347e-07,5.66387586949399
"49","SAA1",0.631419116914974,0.000171536021431954,6.56026316213542
"50","SLITRK6",0.63069722836783,0.00741157053529653,4.31959841684764
"51","IKZF2",0.626605467364831,3.61636845214411e-12,5.57695044742329
"52","GPR75",0.60689701083536,0.0989125760467197,3.43475810283848
"53","LAMA1",0.593859926848183,4.85348300211361e-08,5.33887162527051
"54","PHLDA2",0.587935577430841,0.00567040887778553,6.35087586150145
"55","NEB",0.587564455874223,0.0580566682822341,4.12127767508073
"56","ABCA6",0.577839668465275,0.00028105331471515,4.85010524571423
"57","LINC00670",0.571356902484935,0.045532512298933,3.23172874153758
"58","SLC2A5",0.566786003821211,0.0967926766391093,3.52528430155503
"59","RND3",0.559843926088703,1.36949307947431e-09,7.05704186815234
"60","ZG16B",0.552070786355536,0.0839840016240938,3.11060773331284
"61","TRIM36",0.542021019257936,1.71344990055695e-05,4.86099634887661
"62","SLC7A2",0.539540660693792,1.45216829750292e-41,7.97502663279063
"63","HTR1D",0.536809571420731,0.0910855919984891,3.11798868213073
"64","RELT",0.523965505684726,0.00163785382542583,5.6397084590947
"65","HNRNPA1P33",0.523791256722226,2.11950015501141e-07,5.85995318694155
"66","FAM124A",0.519358669622713,0.00219822768846144,4.39436480965379
"67","LPAR5",0.514532209468492,2.33206502638245e-06,5.13001950164642
"68","PTPN21",0.501917969564699,7.99240720197657e-14,6.3602650347031
"69","NAV3",0.498767936633532,0.0848746992831202,4.58192551639392
"70","ZNF185",0.497712443369865,1.01047157722714e-18,6.67265935118306
"71","SKIL",0.488502590073502,0.000480006764529108,6.8039129396268
"72","MT1L",0.471596461877084,2.22141825450305e-07,5.48034691974541
"73","CARD10",0.466344849535421,8.39074419144568e-23,7.19125501897259
"74","KATNAL1",0.456809086352092,4.90560532337952e-09,6.56250537728523
"75","FGFRL1",0.455887506251267,3.58695675906688e-10,6.68269438153469
"76","PTPRE",0.455776482592783,5.78525502990976e-06,6.00006308581115
"77","FGD4",0.453920205001992,3.29596760314532e-12,7.11974520805569
"78","ALOX5AP",0.448621992517197,0.00724095661745162,4.59927680749401
"79","MB21D2",0.445867124041654,0.00167665117088657,4.57935528507793
"80","UBE2G2",0.433487093315826,7.20806098625198e-07,7.57365817111881
"81","PROM2",0.433306433257239,0.00481016235222775,4.57687804411672
"82","EPB41L1",0.432702456992044,2.52402672652537e-07,6.3475390411132
"83","ARHGAP23",0.422146848908115,2.70781121059422e-12,7.52497553975259
"84","SLC25A24",0.406819701179125,0.00316108947968678,7.59225726566502
"85","LIF",0.403288961578144,0.00368302576718667,4.76896920364224
"86","AP5B1",0.403044847435997,1.22155620637084e-11,6.74346996948649
"87","ZNF567",0.392982773164539,0.012271861625431,4.35686529347826
"88","GNB4",0.379633806624501,0.0180045648468509,8.08004683364993
"89","NIPAL2",0.378657316200323,2.1829681064439e-09,6.37242761243941
"90","APC2",0.374908851947906,0.0122348264287637,4.46239287870408
"91","PLXNA3",0.370371020511573,6.14068764741201e-11,6.70978949605857
"92","ANKRD29",0.367694785999104,0.0928566139695834,4.01220076225503
"93","FNDC4",0.36585060779044,0.0436620565582768,4.13012133285972
"94","PROSER2",0.36537392488769,0.0198566774585774,7.51713568555877
"95","TP53I11",0.362820085949827,0.0484996866788591,5.47507738413027
"96","DGCR11",0.350461222393195,0.0781406996496424,3.95717738478647
"97","RABL2A",0.345927309105794,0.0722860079098239,4.19770685587015
"98","ARHGAP39",0.337874733863272,8.06491045175186e-06,6.24220164789669
"99","TTLL3",0.335327431528025,0.0144531526289495,5.49948335086476
"100","KLC3",0.332016293110841,0.000220419153557338,5.61928764116565
"101","PAPPA",0.329186395549536,0.0696722300358858,4.57708916327274
"102","GGT5",0.324629896899935,7.7307043782793e-06,6.23241898536436
"103","DMWD",0.322929726318023,6.53769426923065e-07,6.27510204815929
"104","FBLIM1",0.322322586172666,6.9856390931778e-13,7.53779309187179
"105","ECM1",0.319846154588258,0.00375248242005377,5.1148397286753
"106","KMT2D",0.318029951414346,0.0181236243571962,7.48250130059019
"107","PPP1R12C",0.313674347261179,5.0395947655778e-09,7.01279991728486
"108","C12orf75",0.310997766036438,0.00046022831555526,7.22214879256001
"109","LAMA3",0.3103675700942,0.0014856107414271,9.86346021684951
"110","TFRC",0.308414683246771,0.0375150238190427,9.43889757503957
"111","GFOD1",0.308149687961352,0.0181090987457441,4.87647891971497
"112","RHPN2",0.30746046936736,0.00102036662296453,5.5754754760408
"113","RASSF8",0.30743428919661,0.00103376821295792,6.89379075571857
"114","ZDHHC8",0.304386222596151,2.14023958536334e-05,6.96446353173229
"115","SPATA13",0.303844862760043,0.0023069555454772,5.71311073451993
"116","ULK2",0.302614732681612,1.94252605270253e-06,6.93426594641011
"117","PUS7",0.302199652128152,5.86070656092887e-09,7.10458406608615
"118","NFATC2IP",0.298078152735924,6.13813086140813e-09,7.23281042584463
"119","RNF11",0.297643003898134,0.0335815936146708,7.51353234008062
"120","MICALL1",0.295454984121148,4.7962313025737e-12,7.91000975866963
"121","KRT80",0.294179358485096,0.0346325655798442,5.99544191585552
"122","BTG3",0.289716112815567,3.75191571155075e-08,6.96865484445883
"123","ZNRF2",0.289556115720845,0.00237091591798306,6.01437075303208
"124","ZBED4",0.289113068686735,1.60366720282043e-06,6.98870617200556
"125","SMAD7",0.285350791921851,0.00856269703239177,5.43363165531841
"126","PNMA1",0.284873600313593,3.9423691303077e-06,6.98670098534414
"127","DYRK1A",0.283100519329459,0.000816483366670364,7.71053829436156
"128","CHRNB1",0.280406997751521,0.0591120168139367,5.10823229335069
"129","LCAT",0.280136978029372,0.0957271384304725,4.58823996056708
"130","GSN",0.280096611861456,0.0167344571797723,6.52887860403786
"131","PLXNA1",0.279741466307569,6.03871267039975e-09,8.35735653227228
