"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","gene_id","ensembl_gene_id"
"1","AAED1",0.201203192307414,0.697404026547875,0.209065169871705,0.163570985833757,8.31697504337846,0.437701689060448,0.00673563836261143,0.0402122101159805,0.0516399268882114,0.0516399268882114,"195827","ENSG00000158122"
"2","AATK",0.0864730871069366,0.565458911839147,0.40892057381077,0.238534592104046,6.49541979515713,0.155691405178944,0.0399313349923422,0.0397436204576585,0.0842113958372801,0.0842113958372801,"9625","ENSG00000181409"
"3","ABCA2",0.0305277923696277,0.419683840887004,0.279217232003384,0.129077559417808,11.2863256010903,0.233892301072452,0.00189112679234948,0.0221256046938128,0.0344601815973036,0.0344601815973036,"20","ENSG00000107331"
"4","ABCA8",0.493257190181886,0.854057200125808,0.701548565608462,1.02395302672989,4.49179905005357,4.976256110256,0.590063054962048,1.69752923801826,0.152087634850006,1.69752923801826,"10351","ENSG00000141338"
"5","ABCA9",0.09012569464676,0.570109312531617,0.666894247278589,0.393509445462804,6.0445252191659,0.354340964315045,0.242646689289008,0.0593009157225621,0.0952071659875973,0.0952071659875973,"10350","ENSG00000154258"
"6","ABCB5",0.344709527230409,0.788098998207099,-0.385698414781142,0.408189323260997,4.02266770070568,0.199339888735654,0.184045722892864,-0.0355194173191322,0.179485601378273,0.179485601378273,"340273","ENSG00000004846"
"7","ABCD1",0.306910205473943,0.767398655479217,0.192086186728479,0.188001508572429,7.80104634361506,0.479887794156781,0.0107658729248444,0.0663495464762659,0.0587648486388469,0.0663495464762659,"215","ENSG00000101986"
"8","ABHD12",0.159164077139132,0.655334820661421,-0.197659832377426,0.140394517613867,9.56986783734254,0.0709497342355705,0.00281939830783042,0.035832509625517,0.0401855920398721,0.0401855920398721,"26090","ENSG00000100997"
"9","ABHD15",0.0529308866519937,0.487967247595585,0.317108234373351,0.163839213427738,8.27312883374113,0.0666410508520601,0.00637130655333648,0.0170740042683075,0.0521958669520157,0.0521958669520157,"116236","ENSG00000168792"
"10","ABHD17C",0.953514482305778,0.992464939616687,0.0140737154871553,0.241426669646479,9.38981837485956,0.712780530620751,0.0042996991433249,0.12287158118378,0.0413542228667252,0.12287158118378,"58489","ENSG00000136379"
"11","ABI3BP",0.848482762204131,0.972695350237875,-0.0758073223006095,0.396783405866728,4.47757833638936,1.76862513030166,0.149892474608569,0.193606589764959,0.152823966501925,0.193606589764959,"25890","ENSG00000154175"
"12","ABR",0.16455816800743,0.661620286711736,0.177426755347175,0.127654005609847,11.0988910043899,0.154682296856203,0.000886039604563438,0.0289486924162299,0.0346678770825034,0.0346678770825034,"29","ENSG00000159842"
"13","ABTB1",0.0918439440473248,0.571579763174528,0.598241759535691,0.35488164116201,8.07599302389352,0.918562956226271,0.010334650904115,0.264445667424267,0.0548090790098058,0.264445667424267,"80325","ENSG00000114626"
"14","ACAN",0.00812893249676657,0.236007520910711,2.29201318608091,0.865999792132586,1.85190084450475,2.27169272708253,1.20960563105711,0.407335050733887,0.426661219794559,0.426661219794559,"176","ENSG00000157766"
"15","ACBD7",0.528875851645703,0.867970898859961,0.220445157439199,0.350066883538645,5.28739137827119,0.507430583232403,0.0454052489619732,0.221969637475393,0.11808271232099,0.221969637475393,"414149","ENSG00000176244"
"16","ACCSL",0.744437192690105,0.94608286785623,0.220967393597062,0.677849371262082,2.38332686838247,0.925885197177527,0.53489790874212,0.467603407884207,0.342524311790277,0.467603407884207,"390110","ENSG00000205126"
"17","ACE",0.075549533948627,0.54418266548873,0.758819278797309,0.426995344905064,4.67999484458168,1.08512525733618,0.250930644393894,0.146869409214676,0.142823959135735,0.146869409214676,"1636","ENSG00000159640"
"18","ACE2",0.0828456963084581,0.558552222945879,1.36019598100781,0.784242168592605,1.41363717255801,3.74264555134891,0.467919792507257,0.873976452581105,0.512505591326487,0.873976452581105,"59272","ENSG00000130234"
"19","ACOXL",0.840213869416798,0.97081496527116,0.170875349553118,0.847512228476679,1.54714314352527,1.38212829979929,1.08256266809411,0.228852960223365,0.484587100816813,0.484587100816813,"55289","ENSG00000153093"
"20","ACPP",0.457860513578777,0.838927236535573,-0.408122490068352,0.549752899783592,4.10781579300734,2.13335851027847,0.320569789494623,0.338837303204579,0.173997831688666,0.338837303204579,"55","ENSG00000014257"
